Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777588226453,  5763.330, 0.108966, 0.007208, 0.007625, 0.993990,0
1777588226464,  5763.750, 0.109517, 0.007204, 0.007602, 0.993930,0
1777588226474,  5763.750, 0.109517, 0.007204, 0.007602, 0.993930,0
1777588226484,  5766.450, 0.110348, 0.007213, 0.007591, 0.993838,0
1777588226494,  5766.450, 0.110348, 0.007213, 0.007591, 0.993838,0
1777588226504,  5766.450, 0.110348, 0.007213, 0.007591, 0.993838,0
1777588226514,  5766.450, 0.110348, 0.007213, 0.007591, 0.993838,0
1777588226525,  5766.490, 0.109600, 0.007217, 0.007599, 0.993921,0
1777588226535,  5766.490, 0.109600, 0.007217, 0.007599, 0.993921,0
1777588226545,  5766.490, 0.109600, 0.007217, 0.007599, 0.993921,0
1777588226555,  5766.490, 0.109600, 0.007217, 0.007599, 0.993921,0
1777588226573,  5766.530, 0.109217, 0.007209, 0.007600, 0.993963,0
1777588226583,  5766.530, 0.109217, 0.007209, 0.007600, 0.993963,0
1777588226593,  5766.530, 0.109217, 0.007209, 0.007600, 0.993963,0
1777588226603,  5766.530, 0.109217, 0.007209, 0.007600, 0.993963,0
1777588226613,  5766.580, 0.108683, 0.007208, 0.007608, 0.994021,0
1777588226624,  5766.580, 0.108683, 0.007208, 0.007608, 0.994021,0
1777588226634,  5766.580, 0.108683, 0.007208, 0.007608, 0.994021,0
1777588226644,  5766.580, 0.108683, 0.007208, 0.007608, 0.994021,0
1777588226654,  5766.620, 0.110133, 0.007216, 0.007593, 0.993862,0
1777588226664,  5766.620, 0.110133, 0.007216, 0.007593, 0.993862,0
1777588226674,  5766.620, 0.110133, 0.007216, 0.007593, 0.993862,0
1777588226684,  5766.620, 0.110133, 0.007216, 0.007593, 0.993862,0
1777588226702,  5766.660, 0.109908, 0.007210, 0.007592, 0.993887,0
1777588226712,  5766.660, 0.109908, 0.007210, 0.007592, 0.993887,0
1777588226722,  5766.660, 0.109908, 0.007210, 0.007592, 0.993887,0
1777588226733,  5766.660, 0.109908, 0.007210, 0.007592, 0.993887,0
1777588226743,  5766.700, 0.109108, 0.007206, 0.007589, 0.993975,0
1777588226753,  5766.700, 0.109108, 0.007206, 0.007589, 0.993975,0
1777588226763,  5766.700, 0.109108, 0.007206, 0.007589, 0.993975,0
1777588226773,  5766.700, 0.109108, 0.007206, 0.007589, 0.993975,0
1777588226784,  5766.750, 0.109645, 0.007210, 0.007596, 0.993916,0
1777588226794,  5766.750, 0.109645, 0.007210, 0.007596, 0.993916,0
1777588226804,  5766.750, 0.109645, 0.007210, 0.007596, 0.993916,0
1777588226814,  5766.750, 0.109645, 0.007210, 0.007596, 0.993916,0
1777588226824,  5766.790, 0.110509, 0.007224, 0.007597, 0.993820,0
1777588226834,  5766.790, 0.110509, 0.007224, 0.007597, 0.993820,0
1777588226845,  5766.790, 0.110509, 0.007224, 0.007597, 0.993820,0
1777588226855,  5766.790, 0.110509, 0.007224, 0.007597, 0.993820,0
1777588226873,  5766.830, 0.110863, 0.007226, 0.007590, 0.993780,0
1777588226883,  5766.830, 0.110863, 0.007226, 0.007590, 0.993780,0
1777588226893,  5766.830, 0.110863, 0.007226, 0.007590, 0.993780,0
1777588226903,  5766.830, 0.110863, 0.007226, 0.007590, 0.993780,0
1777588226913,  5766.870, 0.108598, 0.007209, 0.007602, 0.994031,0
1777588226923,  5766.870, 0.108598, 0.007209, 0.007602, 0.994031,0
1777588226933,  5766.870, 0.108598, 0.007209, 0.007602, 0.994031,0
1777588226944,  5766.870, 0.108598, 0.007209, 0.007602, 0.994031,0
1777588226954,  5766.920, 0.108712, 0.007214, 0.007598, 0.994018,0
1777588226964,  5766.920, 0.108712, 0.007214, 0.007598, 0.994018,0
1777588226974,  5766.920, 0.108712, 0.007214, 0.007598, 0.994018,0
1777588226984,  5766.920, 0.108712, 0.007214, 0.007598, 0.994018,0
1777588226995,  5766.960, 0.108245, 0.007209, 0.007605, 0.994069,0
1777588227005,  5766.960, 0.108245, 0.007209, 0.007605, 0.994069,0
1777588227015,  5766.960, 0.108245, 0.007209, 0.007605, 0.994069,0
1777588227025,  5766.960, 0.108245, 0.007209, 0.007605, 0.994069,0
1777588227043,  5767.000, 0.108252, 0.007210, 0.007601, 0.994068,0
1777588227053,  5767.000, 0.108252, 0.007210, 0.007601, 0.994068,0
1777588227063,  5767.000, 0.108252, 0.007210, 0.007601, 0.994068,0
1777588227073,  5767.000, 0.108252, 0.007210, 0.007601, 0.994068,0
1777588227084,  5767.050, 0.110875, 0.007227, 0.007584, 0.993779,0
1777588227094,  5767.050, 0.110875, 0.007227, 0.007584, 0.993779,0
1777588227104,  5767.050, 0.110875, 0.007227, 0.007584, 0.993779,0
1777588227114,  5767.050, 0.110875, 0.007227, 0.007584, 0.993779,0
1777588227124,  5767.090, 0.111267, 0.007228, 0.007593, 0.993735,0
1777588227134,  5767.090, 0.111267, 0.007228, 0.007593, 0.993735,0
1777588227144,  5767.090, 0.111267, 0.007228, 0.007593, 0.993735,0
1777588227154,  5767.090, 0.111267, 0.007228, 0.007593, 0.993735,0
