Time,GPS_ts,fGPS_ts,s_roll,s_pitch,s_yaw,f_roll,f_pitch,f_yaw,flag
1777588226453,  5763.330,  5763.320, 0.958621,-0.725868,167.481843, 0.935448,-0.759296,-0.000086,0
1777588226464,  5763.750,  5763.750, 0.956327,-0.725166,167.418333, 0.937086,-0.761620,-0.001013,0
1777588226474,  5763.750,  5763.750, 0.956327,-0.725166,167.418333, 0.937086,-0.761620,-0.001013,0
1777588226484,  5766.450,  5766.440, 0.955798,-0.725455,167.322553, 0.937548,-0.766692,-0.005001,0
1777588226494,  5766.450,  5766.440, 0.955798,-0.725455,167.322553, 0.937548,-0.766692,-0.005001,0
1777588226504,  5766.450,  5766.440, 0.955798,-0.725455,167.322553, 0.937548,-0.766692,-0.005001,0
1777588226514,  5766.450,  5766.440, 0.955798,-0.725455,167.322553, 0.937548,-0.766692,-0.005001,0
1777588226525,  5766.490,  5766.480, 0.956234,-0.726539,167.408755, 0.937106,-0.766500,-0.005013,0
1777588226535,  5766.490,  5766.480, 0.956234,-0.726539,167.408755, 0.937106,-0.766500,-0.005013,0
1777588226545,  5766.490,  5766.480, 0.956234,-0.726539,167.408755, 0.937106,-0.766500,-0.005013,0
1777588226555,  5766.490,  5766.480, 0.956234,-0.726539,167.408755, 0.937106,-0.766500,-0.005013,0
1777588226573,  5766.530,  5766.530, 0.955941,-0.726046,167.452934, 0.937385,-0.765574,-0.004991,0
1777588226583,  5766.530,  5766.530, 0.955941,-0.726046,167.452934, 0.937385,-0.765574,-0.004991,0
1777588226593,  5766.530,  5766.530, 0.955941,-0.726046,167.452934, 0.937385,-0.765574,-0.004991,0
1777588226603,  5766.530,  5766.530, 0.955941,-0.726046,167.452934, 0.937385,-0.765574,-0.004991,0
1777588226613,  5766.580,  5766.570, 0.956531,-0.726293,167.514405, 0.937210,-0.764810,-0.004905,0
1777588226624,  5766.580,  5766.570, 0.956531,-0.726293,167.514405, 0.937210,-0.764810,-0.004905,0
1777588226634,  5766.580,  5766.570, 0.956531,-0.726293,167.514405, 0.937210,-0.764810,-0.004905,0
1777588226644,  5766.580,  5766.570, 0.956531,-0.726293,167.514405, 0.937210,-0.764810,-0.004905,0
1777588226654,  5766.620,  5766.610, 0.955985,-0.726010,167.347265, 0.937280,-0.765044,-0.005405,0
1777588226664,  5766.620,  5766.610, 0.955985,-0.726010,167.347265, 0.937280,-0.765044,-0.005405,0
1777588226674,  5766.620,  5766.610, 0.955985,-0.726010,167.347265, 0.937280,-0.765044,-0.005405,0
1777588226684,  5766.620,  5766.610, 0.955985,-0.726010,167.347265, 0.937280,-0.765044,-0.005405,0
1777588226702,  5766.660,  5766.660, 0.955636,-0.725508,167.373221, 0.937201,-0.764800,-0.006205,0
1777588226712,  5766.660,  5766.660, 0.955636,-0.725508,167.373221, 0.937201,-0.764800,-0.006205,0
1777588226722,  5766.660,  5766.660, 0.955636,-0.725508,167.373221, 0.937201,-0.764800,-0.006205,0
1777588226733,  5766.660,  5766.660, 0.955636,-0.725508,167.373221, 0.937201,-0.764800,-0.006205,0
1777588226743,  5766.700,  5766.700, 0.954628,-0.725939,167.465485, 0.936011,-0.765223,-0.006140,0
1777588226753,  5766.700,  5766.700, 0.954628,-0.725939,167.465485, 0.936011,-0.765223,-0.006140,0
1777588226763,  5766.700,  5766.700, 0.954628,-0.725939,167.465485, 0.936011,-0.765223,-0.006140,0
1777588226773,  5766.700,  5766.700, 0.954628,-0.725939,167.465485, 0.936011,-0.765223,-0.006140,0
1777588226784,  5766.750,  5766.740, 0.955844,-0.725705,167.403587, 0.937037,-0.764863,-0.005448,0
1777588226794,  5766.750,  5766.740, 0.955844,-0.725705,167.403587, 0.937037,-0.764863,-0.005448,0
1777588226804,  5766.750,  5766.740, 0.955844,-0.725705,167.403587, 0.937037,-0.764863,-0.005448,0
1777588226814,  5766.750,  5766.740, 0.955844,-0.725705,167.403587, 0.937037,-0.764863,-0.005448,0
1777588226824,  5766.790,  5766.780, 0.956825,-0.726509,167.303960, 0.938164,-0.765452,-0.005496,0
1777588226834,  5766.790,  5766.780, 0.956825,-0.726509,167.303960, 0.938164,-0.765452,-0.005496,0
1777588226845,  5766.790,  5766.780, 0.956825,-0.726509,167.303960, 0.938164,-0.765452,-0.005496,0
1777588226855,  5766.790,  5766.780, 0.956825,-0.726509,167.303960, 0.938164,-0.765452,-0.005496,0
1777588226873,  5766.830,  5766.830, 0.956288,-0.726536,167.263103, 0.937670,-0.765821,-0.005743,0
1777588226883,  5766.830,  5766.830, 0.956288,-0.726536,167.263103, 0.937670,-0.765821,-0.005743,0
1777588226893,  5766.830,  5766.830, 0.956288,-0.726536,167.263103, 0.937670,-0.765821,-0.005743,0
1777588226903,  5766.830,  5766.830, 0.956288,-0.726536,167.263103, 0.937670,-0.765821,-0.005743,0
1777588226913,  5766.870,  5766.870, 0.955791,-0.726624,167.524274, 0.937197,-0.765893,-0.005729,0
1777588226923,  5766.870,  5766.870, 0.955791,-0.726624,167.524274, 0.937197,-0.765893,-0.005729,0
1777588226933,  5766.870,  5766.870, 0.955791,-0.726624,167.524274, 0.937197,-0.765893,-0.005729,0
1777588226944,  5766.870,  5766.870, 0.955791,-0.726624,167.524274, 0.937197,-0.765893,-0.005729,0
1777588226954,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226964,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226974,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226984,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226995,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227005,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227015,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227025,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227043,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227053,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227063,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227073,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227084,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227094,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227104,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227114,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227124,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227134,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227144,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227154,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227172,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227182,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227193,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227203,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227213,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227223,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227233,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227243,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227254,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227264,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227274,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227284,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227294,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227305,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227315,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
