FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/15/26 16:43:24.422443776
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188876:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188876:estOrientQuaternion[0-0],inertial-6286.188876:estOrientQuaternion[0-1],inertial-6286.188876:estOrientQuaternion[0-2],inertial-6286.188876:estOrientQuaternion[0-3],inertial-6286.188876:estOrientQuaternion:valid
1778863404422443776,0.985046,0.012857,0.171794,-0.002449,1
1778863404432633088,0.985045,0.012858,0.171797,-0.002450,1
1778863404442802688,0.985045,0.012858,0.171799,-0.002451,1
1778863404452952320,0.985045,0.012859,0.171797,-0.002453,1
1778863404463081984,0.985046,0.012860,0.171795,-0.002454,1
1778863404473191936,0.985045,0.012860,0.171797,-0.002454,1
1778863404483281664,0.985046,0.012862,0.171795,-0.002454,1
1778863404493351936,0.985045,0.012862,0.171796,-0.002455,1
1778863404503402496,0.985045,0.012862,0.171797,-0.002457,1
1778863404513433088,0.985045,0.012860,0.171798,-0.002456,1
1778863404523443968,0.985046,0.012856,0.171796,-0.002455,1
1778863404533435136,0.985046,0.012855,0.171796,-0.002454,1
1778863404543406848,0.985045,0.012856,0.171797,-0.002456,1
1778863404553363200,0.985045,0.012859,0.171799,-0.002456,1
1778863404563300096,0.985045,0.012859,0.171799,-0.002455,1
1778863404573402112,0.985045,0.012861,0.171802,-0.002456,1
1778863404583668224,0.985045,0.012863,0.171800,-0.002458,1
1778863404593914112,0.985045,0.012863,0.171800,-0.002458,1
1778863404604140288,0.985045,0.012863,0.171801,-0.002462,1
1778863404614346752,0.985045,0.012860,0.171802,-0.002460,1
1778863404624532992,0.985044,0.012862,0.171806,-0.002459,1
1778863404634699008,0.985044,0.012862,0.171807,-0.002462,1
1778863404644844800,0.985044,0.012860,0.171807,-0.002461,1
1778863404654970880,0.985044,0.012860,0.171806,-0.002462,1
1778863404665076736,0.985044,0.012860,0.171804,-0.002462,1
1778863404675162880,0.985044,0.012858,0.171803,-0.002461,1
1778863404685229056,0.985044,0.012856,0.171804,-0.002459,1
1778863404695275520,0.985044,0.012858,0.171804,-0.002457,1
1778863404705302528,0.985044,0.012860,0.171805,-0.002456,1
1778863404715309312,0.985045,0.012860,0.171802,-0.002457,1
