FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/15/26 21:54:16.791688448
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188876:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188876:estOrientQuaternion[0-0],inertial-6286.188876:estOrientQuaternion[0-1],inertial-6286.188876:estOrientQuaternion[0-2],inertial-6286.188876:estOrientQuaternion[0-3],inertial-6286.188876:estOrientQuaternion:valid
1778882056791688448,0.984446,-0.008055,-0.167019,0.053910,1
1778882056801665280,0.984446,-0.008050,-0.167020,0.053910,1
1778882056811622656,0.984446,-0.008052,-0.167018,0.053909,1
1778882056821560320,0.984446,-0.008049,-0.167018,0.053910,1
1778882056831478016,0.984446,-0.008047,-0.167017,0.053909,1
1778882056841376000,0.984446,-0.008049,-0.167019,0.053909,1
1778882056851254272,0.984446,-0.008050,-0.167019,0.053911,1
1778882056861112832,0.984446,-0.008053,-0.167018,0.053913,1
1778882056870952192,0.984446,-0.008054,-0.167019,0.053914,1
1778882056880773120,0.984445,-0.008054,-0.167024,0.053914,1
1778882056890950656,0.984444,-0.008053,-0.167027,0.053916,1
1778882056901107968,0.984444,-0.008051,-0.167028,0.053915,1
1778882056911245568,0.984444,-0.008051,-0.167026,0.053913,1
1778882056921362688,0.984444,-0.008050,-0.167026,0.053913,1
1778882056931459584,0.984445,-0.008048,-0.167024,0.053914,1
1778882056941536768,0.984444,-0.008048,-0.167025,0.053916,1
1778882056951593984,0.984444,-0.008047,-0.167029,0.053918,1
1778882056961630976,0.984443,-0.008052,-0.167032,0.053918,1
1778882056971648000,0.984444,-0.008046,-0.167029,0.053918,1
1778882056981645056,0.984444,-0.008043,-0.167027,0.053914,1
1778882056991622656,0.984444,-0.008048,-0.167026,0.053916,1
1778882057001580544,0.984444,-0.008042,-0.167026,0.053917,1
1778882057011518976,0.984444,-0.008036,-0.167029,0.053914,1
1778882057021437696,0.984444,-0.008039,-0.167028,0.053919,1
1778882057031336448,0.984444,-0.008035,-0.167027,0.053917,1
1778882057041215488,0.984444,-0.008032,-0.167029,0.053916,1
1778882057051074816,0.984444,-0.008033,-0.167029,0.053912,1
1778882057060914688,0.984444,-0.008032,-0.167030,0.053915,1
1778882057070735104,0.984444,-0.008030,-0.167030,0.053912,1
1778882057080913408,0.984444,-0.008031,-0.167029,0.053910,1
1778882057091071488,0.984444,-0.008032,-0.167028,0.053912,1
1778882057101209600,0.984445,-0.008027,-0.167024,0.053914,1
1778882057111327744,0.984445,-0.008026,-0.167026,0.053915,1
1778882057121425664,0.984445,-0.008028,-0.167023,0.053916,1
1778882057131503360,0.984446,-0.008026,-0.167020,0.053915,1
1778882057141561600,0.984445,-0.008028,-0.167022,0.053914,1
1778882057151600128,0.984445,-0.008028,-0.167022,0.053914,1
1778882057161618432,0.984446,-0.008031,-0.167020,0.053915,1
1778882057171616768,0.984445,-0.008029,-0.167020,0.053916,1
1778882057181595392,0.984444,-0.008031,-0.167026,0.053915,1
1778882057191554304,0.984444,-0.008035,-0.167028,0.053913,1
1778882057201493504,0.984445,-0.008041,-0.167024,0.053911,1
1778882057211412736,0.984446,-0.008045,-0.167020,0.053910,1
1778882057221312512,0.984446,-0.008045,-0.167016,0.053914,1
1778882057231192576,0.984446,-0.008049,-0.167015,0.053914,1
1778882057241052928,0.984447,-0.008045,-0.167012,0.053916,1
1778882057250894080,0.984447,-0.008048,-0.167011,0.053916,1
1778882057260715520,0.984447,-0.008048,-0.167012,0.053914,1
1778882057270710528,0.984447,-0.008047,-0.167012,0.053916,1
1778882057280878336,0.984446,-0.008048,-0.167015,0.053921,1
1778882057291025664,0.984446,-0.008053,-0.167013,0.053922,1
1778882057301152768,0.984446,-0.008057,-0.167014,0.053922,1
1778882057311260160,0.984446,-0.008055,-0.167014,0.053924,1
1778882057321347328,0.984445,-0.008055,-0.167017,0.053925,1
1778882057331414272,0.984445,-0.008056,-0.167016,0.053926,1
1778882057341461504,0.984445,-0.008060,-0.167018,0.053925,1
1778882057351488768,0.984446,-0.008059,-0.167015,0.053927,1
1778882057361496064,0.984446,-0.008059,-0.167012,0.053927,1
1778882057371483392,0.984446,-0.008062,-0.167010,0.053926,1
1778882057381450752,0.984447,-0.008065,-0.167007,0.053929,1
1778882057391398656,0.984446,-0.008062,-0.167011,0.053930,1
1778882057401326592,0.984446,-0.008065,-0.167010,0.053929,1
1778882057411234816,0.984447,-0.008064,-0.167007,0.053930,1
1778882057421123328,0.984447,-0.008062,-0.167004,0.053931,1
1778882057430991872,0.984448,-0.008064,-0.167001,0.053932,1
1778882057440841216,0.984447,-0.008066,-0.167004,0.053930,1
1778882057450670848,0.984447,-0.008064,-0.167002,0.053931,1
1778882057460670208,0.984447,-0.008060,-0.167005,0.053931,1
1778882057470838528,0.984448,-0.008056,-0.167001,0.053933,1
1778882057480986368,0.984447,-0.008056,-0.167006,0.053933,1
1778882057491114496,0.984447,-0.008054,-0.167002,0.053933,1
1778882057501222400,0.984447,-0.008054,-0.167002,0.053933,1
1778882057511310592,0.984447,-0.008054,-0.167003,0.053935,1
1778882057521378560,0.984448,-0.008053,-0.167000,0.053935,1
1778882057531426560,0.984448,-0.008053,-0.167001,0.053933,1
1778882057541454336,0.984448,-0.008055,-0.166999,0.053933,1
1778882057551462656,0.984448,-0.008053,-0.166999,0.053934,1
1778882057561451008,0.984448,-0.008055,-0.166998,0.053936,1
1778882057571419392,0.984448,-0.008054,-0.166996,0.053933,1
1778882057581367808,0.984448,-0.008049,-0.166997,0.053934,1
1778882057591296768,0.984448,-0.008045,-0.166997,0.053932,1
1778882057601205760,0.984448,-0.008041,-0.166997,0.053932,1
1778882057611095040,0.984449,-0.008039,-0.166993,0.053931,1
