FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/15/26 21:54:04.327970304
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188876:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188876:estOrientQuaternion[0-0],inertial-6286.188876:estOrientQuaternion[0-1],inertial-6286.188876:estOrientQuaternion[0-2],inertial-6286.188876:estOrientQuaternion[0-3],inertial-6286.188876:estOrientQuaternion:valid
1778882044327970304,0.984476,-0.008141,-0.166982,0.053449,1
1778882044337928704,0.984475,-0.008156,-0.166987,0.053454,1
1778882044347867392,0.984475,-0.008152,-0.166986,0.053464,1
1778882044357786368,0.984476,-0.008139,-0.166986,0.053453,1
1778882044367685888,0.984477,-0.008143,-0.166981,0.053452,1
1778882044377565696,0.984477,-0.008142,-0.166981,0.053449,1
1778882044387425792,0.984477,-0.008133,-0.166981,0.053451,1
1778882044397266176,0.984477,-0.008137,-0.166978,0.053453,1
1778882044407087104,0.984477,-0.008138,-0.166978,0.053457,1
1778882044417264640,0.984476,-0.008129,-0.166981,0.053460,1
1778882044427422464,0.984475,-0.008126,-0.166986,0.053459,1
1778882044437560064,0.984475,-0.008125,-0.166987,0.053460,1
1778882044447677184,0.984476,-0.008119,-0.166984,0.053458,1
1778882044457774848,0.984476,-0.008116,-0.166985,0.053456,1
1778882044467852288,0.984475,-0.008124,-0.166985,0.053459,1
1778882044477910016,0.984476,-0.008126,-0.166984,0.053460,1
1778882044487947776,0.984476,-0.008120,-0.166984,0.053462,1
1778882044497965824,0.984475,-0.008119,-0.166988,0.053465,1
1778882044507963904,0.984474,-0.008123,-0.166990,0.053468,1
1778882044517942272,0.984474,-0.008123,-0.166992,0.053465,1
1778882044527900928,0.984475,-0.008119,-0.166989,0.053463,1
1778882044537839616,0.984475,-0.008122,-0.166990,0.053460,1
1778882044547759104,0.984474,-0.008120,-0.166993,0.053462,1
1778882044557659136,0.984474,-0.008112,-0.166995,0.053460,1
1778882044567539968,0.984473,-0.008111,-0.166999,0.053458,1
1778882044577401088,0.984474,-0.008112,-0.166997,0.053456,1
1778882044587242496,0.984474,-0.008109,-0.166995,0.053455,1
1778882044597064192,0.984474,-0.008105,-0.166997,0.053454,1
1778882044607058688,0.984474,-0.008105,-0.166996,0.053453,1
1778882044617225472,0.984474,-0.008103,-0.166998,0.053451,1
1778882044627372288,0.984474,-0.008100,-0.166998,0.053450,1
1778882044637499136,0.984473,-0.008097,-0.167001,0.053453,1
1778882044647605760,0.984474,-0.008095,-0.167000,0.053452,1
