FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/27/26 18:59:45.647387392
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1777316385647387392,0.999993,-0.000511,0.003592,0.000584,1
1777316385657314560,0.999993,-0.000515,0.003597,0.000585,1
1777316385667222272,0.999993,-0.000516,0.003597,0.000583,1
1777316385677110528,0.999993,-0.000515,0.003598,0.000585,1
1777316385687116800,0.999993,-0.000518,0.003596,0.000587,1
1777316385697241088,0.999993,-0.000518,0.003594,0.000586,1
1777316385707345408,0.999993,-0.000520,0.003595,0.000588,1
1777316385717429504,0.999993,-0.000521,0.003594,0.000589,1
1777316385727493888,0.999993,-0.000518,0.003594,0.000592,1
1777316385737538048,0.999993,-0.000513,0.003595,0.000591,1
1777316385747563008,0.999993,-0.000513,0.003593,0.000592,1
1777316385757568000,0.999993,-0.000511,0.003597,0.000592,1
1777316385767553024,0.999993,-0.000511,0.003601,0.000591,1
1777316385777518592,0.999993,-0.000507,0.003599,0.000594,1
1777316385787464448,0.999993,-0.000507,0.003599,0.000596,1
1777316385797390592,0.999993,-0.000507,0.003599,0.000597,1
1777316385807297024,0.999993,-0.000511,0.003598,0.000597,1
1777316385817183744,0.999993,-0.000515,0.003596,0.000597,1
1777316385827189248,0.999993,-0.000516,0.003599,0.000599,1
1777316385837313024,0.999993,-0.000517,0.003600,0.000601,1
1777316385847417088,0.999993,-0.000514,0.003596,0.000601,1
1777316385857500928,0.999993,-0.000516,0.003598,0.000601,1
1777316385867565312,0.999993,-0.000515,0.003599,0.000603,1
1777316385877610752,0.999993,-0.000516,0.003599,0.000603,1
1777316385887636224,0.999993,-0.000513,0.003597,0.000599,1
1777316385897641984,0.999993,-0.000512,0.003596,0.000601,1
1777316385907628032,0.999993,-0.000511,0.003591,0.000601,1
1777316385917594624,0.999993,-0.000507,0.003589,0.000602,1
1777316385927541504,0.999993,-0.000508,0.003589,0.000603,1
1777316385937468928,0.999993,-0.000507,0.003589,0.000601,1
1777316385947376640,0.999993,-0.000507,0.003585,0.000601,1
1777316385957265152,0.999993,-0.000506,0.003586,0.000599,1
1777316385967271936,0.999993,-0.000507,0.003585,0.000600,1
1777316385977396992,0.999993,-0.000504,0.003586,0.000599,1
1777316385987502592,0.999993,-0.000504,0.003588,0.000601,1
1777316385997588736,0.999993,-0.000502,0.003586,0.000602,1
1777316386007654912,0.999993,-0.000500,0.003582,0.000604,1
1777316386017701120,0.999993,-0.000500,0.003583,0.000605,1
1777316386027727616,0.999993,-0.000499,0.003585,0.000606,1
1777316386037734656,0.999993,-0.000495,0.003583,0.000608,1
1777316386047721984,0.999993,-0.000496,0.003581,0.000607,1
1777316386057689600,0.999993,-0.000503,0.003585,0.000611,1
1777316386067637760,0.999993,-0.000502,0.003586,0.000610,1
1777316386077566464,0.999993,-0.000498,0.003582,0.000609,1
1777316386087475968,0.999993,-0.000499,0.003579,0.000611,1
1777316386097365760,0.999993,-0.000500,0.003579,0.000611,1
1777316386107373824,0.999993,-0.000499,0.003578,0.000610,1
1777316386117496832,0.999993,-0.000501,0.003576,0.000608,1
1777316386127599616,0.999993,-0.000500,0.003575,0.000609,1
1777316386137682944,0.999993,-0.000503,0.003575,0.000606,1
1777316386147745792,0.999993,-0.000501,0.003574,0.000606,1
1777316386157790208,0.999993,-0.000504,0.003575,0.000607,1
1777316386167814656,0.999993,-0.000499,0.003573,0.000608,1
1777316386177819392,0.999993,-0.000495,0.003576,0.000608,1
1777316386187804416,0.999993,-0.000499,0.003577,0.000608,1
1777316386197769728,0.999993,-0.000498,0.003578,0.000608,1
1777316386207715328,0.999993,-0.000497,0.003576,0.000608,1
1777316386217641472,0.999993,-0.000495,0.003573,0.000607,1
1777316386227547904,0.999993,-0.000494,0.003573,0.000606,1
1777316386237435136,0.999993,-0.000497,0.003574,0.000603,1
1777316386247439872,0.999993,-0.000494,0.003575,0.000606,1
1777316386257562112,0.999993,-0.000494,0.003580,0.000609,1
1777316386267664384,0.999993,-0.000493,0.003579,0.000609,1
1777316386277746944,0.999993,-0.000493,0.003579,0.000609,1
1777316386287809536,0.999993,-0.000494,0.003580,0.000610,1
1777316386297852928,0.999993,-0.000494,0.003581,0.000610,1
1777316386307876352,0.999993,-0.000494,0.003582,0.000609,1
1777316386317880320,0.999993,-0.000493,0.003581,0.000610,1
1777316386327864832,0.999993,-0.000493,0.003578,0.000612,1
1777316386337830144,0.999993,-0.000489,0.003575,0.000612,1
1777316386347775744,0.999993,-0.000491,0.003575,0.000614,1
1777316386357701632,0.999993,-0.000490,0.003573,0.000615,1
1777316386367608576,0.999993,-0.000491,0.003571,0.000614,1
1777316386377496320,0.999993,-0.000487,0.003569,0.000616,1
1777316386387501312,0.999993,-0.000486,0.003565,0.000617,1
1777316386397623552,0.999993,-0.000483,0.003566,0.000619,1
1777316386407725824,0.999993,-0.000482,0.003565,0.000622,1
1777316386417808128,0.999993,-0.000482,0.003565,0.000621,1
1777316386427870976,0.999993,-0.000482,0.003564,0.000621,1
1777316386437914112,0.999993,-0.000480,0.003560,0.000620,1
1777316386447937280,0.999993,-0.000484,0.003561,0.000624,1
1777316386457940736,0.999993,-0.000486,0.003566,0.000625,1
1777316386467924480,0.999993,-0.000486,0.003566,0.000625,1
1777316386477888768,0.999993,-0.000486,0.003565,0.000624,1
1777316386487833088,0.999993,-0.000485,0.003564,0.000624,1
1777316386497757696,0.999993,-0.000484,0.003565,0.000623,1
1777316386507662848,0.999993,-0.000487,0.003566,0.000625,1
1777316386517548800,0.999993,-0.000489,0.003565,0.000624,1
1777316386527552000,0.999993,-0.000493,0.003564,0.000622,1
1777316386537672448,0.999993,-0.000496,0.003567,0.000622,1
1777316386547773184,0.999993,-0.000497,0.003567,0.000621,1
1777316386557853696,0.999993,-0.000495,0.003568,0.000621,1
1777316386567914240,0.999993,-0.000499,0.003568,0.000621,1
1777316386577955328,0.999993,-0.000499,0.003566,0.000621,1
1777316386587976448,0.999993,-0.000499,0.003568,0.000621,1
1777316386597977600,0.999993,-0.000497,0.003568,0.000625,1
1777316386607959040,0.999993,-0.000496,0.003567,0.000627,1
1777316386617920768,0.999993,-0.000493,0.003565,0.000626,1
1777316386627862528,0.999993,-0.000493,0.003561,0.000628,1
1777316386637784320,0.999993,-0.000491,0.003558,0.000630,1
1777316386647686656,0.999993,-0.000491,0.003559,0.000629,1
1777316386657569536,0.999993,-0.000497,0.003567,0.000627,1
1777316386667570944,0.999993,-0.000495,0.003565,0.000623,1
1777316386677691136,0.999993,-0.000493,0.003564,0.000625,1
1777316386687791360,0.999993,-0.000492,0.003562,0.000626,1
1777316386697871872,0.999993,-0.000492,0.003561,0.000625,1
1777316386707932416,0.999993,-0.000493,0.003562,0.000627,1
1777316386717973248,0.999993,-0.000493,0.003559,0.000628,1
1777316386727993856,0.999993,-0.000491,0.003561,0.000626,1
1777316386737994752,0.999993,-0.000491,0.003566,0.000628,1
1777316386747975936,0.999993,-0.000490,0.003567,0.000626,1
1777316386757937152,0.999993,-0.000489,0.003564,0.000623,1
1777316386767878400,0.999993,-0.000489,0.003561,0.000626,1
1777316386777800192,0.999993,-0.000489,0.003563,0.000628,1
1777316386787702272,0.999993,-0.000488,0.003563,0.000628,1
1777316386797584896,0.999993,-0.000487,0.003561,0.000628,1
1777316386807586304,0.999993,-0.000490,0.003558,0.000628,1
1777316386817706752,0.999993,-0.000485,0.003561,0.000629,1
1777316386827807488,0.999993,-0.000488,0.003561,0.000630,1
1777316386837888512,0.999993,-0.000488,0.003561,0.000632,1
1777316386847949568,0.999993,-0.000490,0.003560,0.000632,1
1777316386857990912,0.999993,-0.000495,0.003561,0.000632,1
1777316386868012032,0.999993,-0.000496,0.003561,0.000629,1
1777316386878013696,0.999993,-0.000498,0.003560,0.000628,1
1777316386887995392,0.999993,-0.000494,0.003557,0.000630,1
1777316386897957120,0.999993,-0.000493,0.003559,0.000631,1
1777316386907899392,0.999993,-0.000493,0.003559,0.000631,1
1777316386917821696,0.999993,-0.000491,0.003560,0.000632,1
1777316386927724800,0.999993,-0.000491,0.003555,0.000631,1
1777316386937608192,0.999993,-0.000492,0.003554,0.000631,1
1777316386947609600,0.999993,-0.000492,0.003554,0.000632,1
1777316386957729024,0.999993,-0.000494,0.003554,0.000634,1
1777316386967828480,0.999993,-0.000495,0.003552,0.000635,1
1777316386977907968,0.999993,-0.000496,0.003553,0.000636,1
1777316386987967488,0.999993,-0.000496,0.003553,0.000638,1
1777316386998007296,0.999993,-0.000496,0.003552,0.000638,1
1777316387008026880,0.999993,-0.000497,0.003550,0.000637,1
1777316387018026752,0.999993,-0.000499,0.003553,0.000635,1
1777316387028006912,0.999993,-0.000500,0.003552,0.000635,1
1777316387037967104,0.999993,-0.000498,0.003552,0.000637,1
1777316387047907328,0.999993,-0.000496,0.003551,0.000636,1
1777316387057828352,0.999993,-0.000498,0.003553,0.000636,1
1777316387067729408,0.999993,-0.000498,0.003554,0.000635,1
1777316387077611776,0.999993,-0.000497,0.003553,0.000636,1
1777316387087612672,0.999993,-0.000496,0.003551,0.000634,1
1777316387097731840,0.999993,-0.000494,0.003549,0.000635,1
1777316387107831296,0.999993,-0.000494,0.003549,0.000634,1
1777316387117910784,0.999993,-0.000492,0.003550,0.000635,1
1777316387127970816,0.999993,-0.000493,0.003547,0.000635,1
1777316387138011648,0.999993,-0.000495,0.003545,0.000638,1
1777316387148032768,0.999993,-0.000494,0.003544,0.000639,1
1777316387158034176,0.999993,-0.000496,0.003541,0.000639,1
1777316387168015872,0.999993,-0.000496,0.003539,0.000638,1
1777316387177978112,0.999993,-0.000495,0.003539,0.000638,1
1777316387187920640,0.999993,-0.000500,0.003538,0.000638,1
1777316387197843712,0.999993,-0.000496,0.003540,0.000638,1
