FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/27/26 23:47:00.716139776
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1777333620716139776,0.999991,-0.002178,0.003583,0.000392,1
1777333620726153216,0.999991,-0.002176,0.003581,0.000391,1
1777333620736146944,0.999991,-0.002173,0.003582,0.000390,1
1777333620746121216,0.999991,-0.002172,0.003583,0.000389,1
1777333620756075776,0.999991,-0.002173,0.003584,0.000387,1
1777333620766011136,0.999991,-0.002174,0.003584,0.000389,1
1777333620775926784,0.999991,-0.002173,0.003583,0.000389,1
1777333620785822720,0.999991,-0.002172,0.003584,0.000389,1
1777333620795831808,0.999991,-0.002175,0.003582,0.000388,1
1777333620805953280,0.999991,-0.002176,0.003584,0.000390,1
1777333620816054784,0.999991,-0.002177,0.003583,0.000390,1
1777333620826136832,0.999991,-0.002180,0.003584,0.000389,1
1777333620836199424,0.999991,-0.002180,0.003583,0.000392,1
1777333620846241792,0.999991,-0.002182,0.003582,0.000392,1
1777333620856264704,0.999991,-0.002180,0.003583,0.000390,1
1777333620866267648,0.999991,-0.002180,0.003585,0.000390,1
1777333620876250880,0.999991,-0.002179,0.003584,0.000389,1
1777333620886214400,0.999991,-0.002181,0.003585,0.000388,1
1777333620896158208,0.999991,-0.002183,0.003585,0.000386,1
1777333620906082304,0.999991,-0.002180,0.003584,0.000387,1
1777333620915986944,0.999991,-0.002184,0.003584,0.000387,1
1777333620925871872,0.999991,-0.002179,0.003584,0.000388,1
1777333620935866624,0.999991,-0.002177,0.003586,0.000389,1
1777333620945970944,0.999991,-0.002179,0.003586,0.000388,1
1777333620956055296,0.999991,-0.002183,0.003584,0.000387,1
1777333620966119680,0.999991,-0.002183,0.003581,0.000387,1
1777333620976164096,0.999991,-0.002180,0.003580,0.000386,1
1777333620986189056,0.999991,-0.002181,0.003581,0.000387,1
1777333620996194304,0.999991,-0.002179,0.003580,0.000389,1
1777333621006179840,0.999991,-0.002179,0.003578,0.000391,1
1777333621016145664,0.999991,-0.002182,0.003579,0.000390,1
1777333621026091776,0.999991,-0.002179,0.003579,0.000391,1
1777333621036018176,0.999991,-0.002180,0.003578,0.000391,1
1777333621045924864,0.999991,-0.002183,0.003576,0.000393,1
1777333621055812096,0.999991,-0.002186,0.003578,0.000394,1
1777333621065809408,0.999991,-0.002186,0.003574,0.000395,1
1777333621075916800,0.999991,-0.002189,0.003571,0.000393,1
1777333621086004224,0.999991,-0.002189,0.003570,0.000392,1
1777333621096071936,0.999991,-0.002190,0.003571,0.000390,1
1777333621106119680,0.999991,-0.002191,0.003568,0.000391,1
1777333621116147968,0.999991,-0.002189,0.003568,0.000388,1
1777333621126157568,0.999991,-0.002184,0.003567,0.000389,1
1777333621136147200,0.999991,-0.002184,0.003571,0.000388,1
1777333621146117120,0.999991,-0.002181,0.003572,0.000388,1
1777333621156067072,0.999991,-0.002182,0.003570,0.000385,1
1777333621165997824,0.999991,-0.002181,0.003569,0.000381,1
1777333621175908608,0.999991,-0.002183,0.003573,0.000383,1
1777333621185799680,0.999991,-0.002179,0.003573,0.000385,1
1777333621195800064,0.999991,-0.002177,0.003573,0.000387,1
1777333621205910272,0.999991,-0.002175,0.003574,0.000387,1
1777333621216000256,0.999991,-0.002175,0.003574,0.000384,1
1777333621226070016,0.999991,-0.002175,0.003576,0.000381,1
1777333621236120064,0.999991,-0.002179,0.003576,0.000383,1
1777333621246150400,0.999991,-0.002178,0.003576,0.000383,1
1777333621256161280,0.999991,-0.002175,0.003572,0.000382,1
1777333621266152448,0.999991,-0.002183,0.003568,0.000383,1
1777333621276123904,0.999991,-0.002190,0.003567,0.000385,1
1777333621286075648,0.999991,-0.002181,0.003568,0.000384,1
1777333621296007424,0.999991,-0.002173,0.003565,0.000383,1
1777333621305919744,0.999991,-0.002184,0.003565,0.000383,1
1777333621315812352,0.999991,-0.002184,0.003566,0.000383,1
1777333621325815296,0.999991,-0.002179,0.003571,0.000382,1
1777333621335928832,0.999991,-0.002168,0.003575,0.000380,1
1777333621346022400,0.999991,-0.002176,0.003572,0.000381,1
1777333621356097024,0.999991,-0.002181,0.003571,0.000381,1
1777333621366151936,0.999991,-0.002177,0.003571,0.000379,1
1777333621376187136,0.999991,-0.002174,0.003572,0.000380,1
1777333621386202880,0.999991,-0.002173,0.003573,0.000377,1
1777333621396199168,0.999991,-0.002174,0.003574,0.000378,1
1777333621406176000,0.999991,-0.002172,0.003571,0.000380,1
1777333621416133376,0.999991,-0.002170,0.003571,0.000380,1
1777333621426071040,0.999991,-0.002173,0.003573,0.000382,1
1777333621435991040,0.999991,-0.002179,0.003574,0.000384,1
1777333621445891840,0.999991,-0.002183,0.003577,0.000384,1
1777333621455773184,0.999991,-0.002181,0.003577,0.000383,1
1777333621465895424,0.999991,-0.002178,0.003577,0.000383,1
1777333621475997440,0.999991,-0.002183,0.003573,0.000383,1
1777333621486079744,0.999991,-0.002183,0.003575,0.000385,1
1777333621496141824,0.999991,-0.002182,0.003577,0.000383,1
1777333621506184704,0.999991,-0.002185,0.003572,0.000383,1
1777333621516207616,0.999991,-0.002185,0.003571,0.000383,1
1777333621526211072,0.999991,-0.002186,0.003577,0.000381,1
1777333621536194816,0.999991,-0.002184,0.003581,0.000382,1
1777333621546159104,0.999991,-0.002184,0.003577,0.000380,1
1777333621556103680,0.999991,-0.002186,0.003575,0.000379,1
1777333621566028800,0.999991,-0.002184,0.003572,0.000377,1
1777333621575934208,0.999991,-0.002184,0.003571,0.000376,1
1777333621585820160,0.999991,-0.002186,0.003568,0.000377,1
1777333621595816192,0.999991,-0.002187,0.003570,0.000378,1
1777333621605921280,0.999991,-0.002185,0.003571,0.000378,1
1777333621616006400,0.999991,-0.002187,0.003569,0.000379,1
1777333621626071296,0.999991,-0.002184,0.003571,0.000381,1
1777333621636116224,0.999991,-0.002186,0.003572,0.000381,1
1777333621646141952,0.999991,-0.002190,0.003575,0.000381,1
1777333621656147712,0.999991,-0.002189,0.003576,0.000377,1
1777333621666133504,0.999991,-0.002191,0.003572,0.000377,1
1777333621676099840,0.999991,-0.002193,0.003571,0.000379,1
1777333621686046208,0.999991,-0.002191,0.003572,0.000381,1
1777333621695972608,0.999991,-0.002192,0.003569,0.000383,1
1777333621705879808,0.999991,-0.002195,0.003571,0.000382,1
1777333621715767296,0.999991,-0.002195,0.003570,0.000380,1
1777333621725765376,0.999991,-0.002194,0.003569,0.000381,1
1777333621735873536,0.999991,-0.002192,0.003575,0.000381,1
1777333621745961984,0.999991,-0.002195,0.003573,0.000379,1
1777333621756030720,0.999991,-0.002199,0.003570,0.000378,1
1777333621766080000,0.999991,-0.002197,0.003568,0.000377,1
1777333621776109824,0.999991,-0.002196,0.003570,0.000378,1
1777333621786119936,0.999991,-0.002199,0.003568,0.000379,1
1777333621796110336,0.999991,-0.002201,0.003566,0.000379,1
1777333621806081280,0.999991,-0.002202,0.003564,0.000378,1
1777333621816032512,0.999991,-0.002206,0.003565,0.000377,1
1777333621825964288,0.999991,-0.002209,0.003563,0.000377,1
1777333621835876352,0.999991,-0.002208,0.003561,0.000378,1
1777333621845769472,0.999991,-0.002209,0.003562,0.000376,1
1777333621855771648,0.999991,-0.002207,0.003562,0.000378,1
1777333621865882368,0.999991,-0.002203,0.003564,0.000378,1
1777333621875973376,0.999991,-0.002202,0.003561,0.000378,1
1777333621886044160,0.999991,-0.002205,0.003564,0.000377,1
1777333621896095232,0.999991,-0.002209,0.003561,0.000378,1
1777333621906126336,0.999991,-0.002211,0.003560,0.000379,1
1777333621916137728,0.999991,-0.002209,0.003560,0.000380,1
1777333621926129408,0.999991,-0.002209,0.003561,0.000382,1
1777333621936101120,0.999991,-0.002206,0.003561,0.000382,1
1777333621946053120,0.999991,-0.002206,0.003561,0.000381,1
1777333621955985408,0.999991,-0.002203,0.003561,0.000379,1
1777333621965897984,0.999991,-0.002202,0.003564,0.000380,1
1777333621975791104,0.999991,-0.002201,0.003565,0.000381,1
1777333621985794816,0.999991,-0.002203,0.003563,0.000378,1
1777333621995908608,0.999991,-0.002200,0.003561,0.000378,1
1777333622006002176,0.999991,-0.002203,0.003562,0.000380,1
1777333622016076288,0.999991,-0.002201,0.003561,0.000380,1
1777333622026130432,0.999991,-0.002198,0.003562,0.000379,1
1777333622036164608,0.999991,-0.002200,0.003561,0.000380,1
1777333622046178816,0.999991,-0.002200,0.003560,0.000380,1
1777333622056173056,0.999991,-0.002203,0.003560,0.000381,1
1777333622066147840,0.999991,-0.002204,0.003558,0.000379,1
1777333622076102656,0.999991,-0.002205,0.003559,0.000379,1
1777333622086037504,0.999991,-0.002206,0.003559,0.000379,1
1777333622095953152,0.999991,-0.002206,0.003556,0.000378,1
1777333622105848832,0.999991,-0.002206,0.003555,0.000378,1
1777333622115724800,0.999991,-0.002211,0.003553,0.000378,1
1777333622125848576,0.999991,-0.002212,0.003551,0.000376,1
1777333622135952128,0.999991,-0.002208,0.003555,0.000376,1
1777333622146035968,0.999991,-0.002203,0.003555,0.000378,1
1777333622156099840,0.999991,-0.002199,0.003553,0.000379,1
1777333622166144000,0.999991,-0.002201,0.003554,0.000380,1
1777333622176167936,0.999991,-0.002202,0.003554,0.000379,1
1777333622186171904,0.999991,-0.002201,0.003556,0.000378,1
1777333622196156416,0.999991,-0.002200,0.003553,0.000378,1
1777333622206120960,0.999991,-0.002199,0.003554,0.000378,1
1777333622216065536,0.999991,-0.002199,0.003555,0.000378,1
1777333622225990656,0.999991,-0.002195,0.003554,0.000377,1
1777333622235896064,0.999991,-0.002194,0.003553,0.000375,1
1777333622245781504,0.999991,-0.002197,0.003552,0.000375,1
1777333622255778048,0.999991,-0.002200,0.003551,0.000374,1
1777333622265885184,0.999991,-0.002202,0.003549,0.000372,1
1777333622275972352,0.999991,-0.002205,0.003547,0.000371,1
1777333622286039808,0.999991,-0.002208,0.003547,0.000370,1
1777333622296087808,0.999991,-0.002210,0.003548,0.000372,1
1777333622306116608,0.999991,-0.002206,0.003547,0.000372,1
1777333622316125696,0.999991,-0.002206,0.003547,0.000373,1
1777333622326115072,0.999991,-0.002207,0.003546,0.000374,1
1777333622336084992,0.999991,-0.002208,0.003547,0.000372,1
1777333622346035200,0.999991,-0.002210,0.003548,0.000373,1
1777333622355965696,0.999991,-0.002206,0.003549,0.000371,1
1777333622365876736,0.999991,-0.002205,0.003548,0.000371,1
1777333622375768320,0.999991,-0.002202,0.003552,0.000371,1
1777333622385769216,0.999991,-0.002204,0.003553,0.000371,1
1777333622395878912,0.999991,-0.002206,0.003554,0.000372,1
1777333622405969152,0.999991,-0.002203,0.003551,0.000371,1
1777333622416039168,0.999991,-0.002203,0.003553,0.000371,1
1777333622426089728,0.999991,-0.002202,0.003550,0.000371,1
1777333622436120832,0.999991,-0.002203,0.003551,0.000369,1
1777333622446132224,0.999991,-0.002203,0.003551,0.000367,1
1777333622456124160,0.999991,-0.002205,0.003553,0.000369,1
1777333622466096384,0.999991,-0.002202,0.003555,0.000369,1
1777333622476049152,0.999991,-0.002201,0.003555,0.000370,1
1777333622485982464,0.999991,-0.002200,0.003557,0.000371,1
1777333622495896320,0.999991,-0.002199,0.003558,0.000371,1
1777333622505791232,0.999991,-0.002199,0.003558,0.000370,1
1777333622515794688,0.999991,-0.002203,0.003555,0.000368,1
1777333622525906432,0.999991,-0.002201,0.003554,0.000368,1
1777333622535998464,0.999991,-0.002193,0.003557,0.000371,1
1777333622546070272,0.999991,-0.002195,0.003557,0.000373,1
1777333622556122368,0.999991,-0.002194,0.003556,0.000372,1
1777333622566155008,0.999991,-0.002194,0.003557,0.000374,1
1777333622576167424,0.999991,-0.002193,0.003558,0.000374,1
1777333622586160128,0.999991,-0.002194,0.003560,0.000374,1
1777333622596133120,0.999991,-0.002191,0.003560,0.000376,1
1777333622606086144,0.999991,-0.002193,0.003563,0.000376,1
1777333622616019712,0.999991,-0.002196,0.003563,0.000375,1
1777333622625933568,0.999991,-0.002199,0.003564,0.000375,1
1777333622635828224,0.999991,-0.002200,0.003567,0.000377,1
1777333622645836544,0.999991,-0.002197,0.003569,0.000379,1
1777333622655958528,0.999991,-0.002197,0.003571,0.000380,1
1777333622666060800,0.999991,-0.002197,0.003574,0.000381,1
1777333622676143104,0.999991,-0.002197,0.003575,0.000379,1
1777333622686205696,0.999991,-0.002199,0.003577,0.000380,1
1777333622696249088,0.999991,-0.002200,0.003578,0.000380,1
1777333622706273536,0.999991,-0.002201,0.003577,0.000380,1
1777333622716278272,0.999991,-0.002200,0.003578,0.000379,1
1777333622726263296,0.999991,-0.002201,0.003577,0.000379,1
1777333622736228864,0.999991,-0.002195,0.003577,0.000378,1
1777333622746175232,0.999991,-0.002197,0.003578,0.000377,1
1777333622756101888,0.999991,-0.002196,0.003575,0.000376,1
1777333622766008832,0.999991,-0.002195,0.003572,0.000376,1
1777333622775896320,0.999991,-0.002197,0.003571,0.000379,1
1777333622785892864,0.999991,-0.002196,0.003571,0.000379,1
1777333622795997184,0.999991,-0.002196,0.003569,0.000379,1
1777333622806081536,0.999991,-0.002197,0.003569,0.000376,1
1777333622816146176,0.999991,-0.002200,0.003566,0.000376,1
1777333622826190592,0.999991,-0.002198,0.003567,0.000378,1
1777333622836215552,0.999991,-0.002194,0.003567,0.000379,1
1777333622846220288,0.999991,-0.002194,0.003569,0.000379,1
1777333622856205568,0.999991,-0.002195,0.003568,0.000378,1
1777333622866170880,0.999991,-0.002197,0.003566,0.000376,1
1777333622876116224,0.999991,-0.002195,0.003568,0.000377,1
1777333622886042368,0.999991,-0.002197,0.003566,0.000376,1
1777333622895948800,0.999991,-0.002199,0.003567,0.000375,1
1777333622905835264,0.999991,-0.002200,0.003570,0.000376,1
1777333622915832576,0.999991,-0.002201,0.003569,0.000375,1
1777333622925940224,0.999991,-0.002202,0.003567,0.000375,1
1777333622936027648,0.999991,-0.002198,0.003569,0.000374,1
1777333622946095616,0.999991,-0.002194,0.003565,0.000375,1
1777333622956143616,0.999991,-0.002193,0.003560,0.000376,1
1777333622966172160,0.999991,-0.002192,0.003562,0.000375,1
1777333622976180992,0.999991,-0.002189,0.003562,0.000374,1
1777333622986170112,0.999991,-0.002190,0.003560,0.000370,1
1777333622996139776,0.999991,-0.002191,0.003560,0.000370,1
1777333623006089728,0.999991,-0.002191,0.003557,0.000373,1
1777333623016020224,0.999991,-0.002191,0.003555,0.000372,1
1777333623025931008,0.999991,-0.002192,0.003555,0.000374,1
1777333623035822336,0.999991,-0.002190,0.003555,0.000375,1
1777333623045823488,0.999991,-0.002189,0.003554,0.000375,1
1777333623055934464,0.999991,-0.002185,0.003554,0.000375,1
1777333623066025472,0.999991,-0.002185,0.003552,0.000378,1
1777333623076096512,0.999991,-0.002183,0.003548,0.000379,1
1777333623086147840,0.999991,-0.002186,0.003548,0.000380,1
1777333623096180736,0.999991,-0.002185,0.003546,0.000381,1
1777333623106193920,0.999991,-0.002187,0.003545,0.000381,1
1777333623116187392,0.999991,-0.002190,0.003548,0.000382,1
1777333623126161152,0.999991,-0.002187,0.003548,0.000381,1
1777333623136115456,0.999991,-0.002186,0.003552,0.000382,1
1777333623146050304,0.999991,-0.002189,0.003552,0.000385,1
1777333623155965440,0.999991,-0.002190,0.003553,0.000386,1
1777333623165861120,0.999991,-0.002187,0.003551,0.000383,1
1777333623175866112,0.999991,-0.002190,0.003553,0.000383,1
1777333623185979648,0.999991,-0.002190,0.003551,0.000382,1
1777333623196073216,0.999991,-0.002193,0.003550,0.000380,1
1777333623206146816,0.999991,-0.002199,0.003552,0.000381,1
1777333623216200704,0.999991,-0.002192,0.003554,0.000382,1
1777333623226234624,0.999991,-0.002188,0.003550,0.000382,1
1777333623236248576,0.999991,-0.002195,0.003552,0.000382,1
1777333623246242816,0.999991,-0.002196,0.003551,0.000380,1
