FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/12/26 22:42:28.894122240
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188876:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188876:estOrientQuaternion[0-0],inertial-6286.188876:estOrientQuaternion[0-1],inertial-6286.188876:estOrientQuaternion[0-2],inertial-6286.188876:estOrientQuaternion[0-3],inertial-6286.188876:estOrientQuaternion:valid
1778625748894122240,0.898747,0.004339,0.003012,0.438435,1
1778625748903990528,0.898746,0.004339,0.003012,0.438437,1
1778625748913839104,0.898747,0.004339,0.003013,0.438435,1
1778625748923668224,0.898747,0.004336,0.003015,0.438436,1
1778625748933477632,0.898747,0.004334,0.003017,0.438436,1
1778625748943267840,0.898747,0.004333,0.003016,0.438436,1
1778625748953038592,0.898747,0.004330,0.003014,0.438437,1
1778625748962790400,0.898746,0.004330,0.003011,0.438437,1
1778625748972523776,0.898746,0.004332,0.003010,0.438438,1
1778625748982237696,0.898745,0.004332,0.003012,0.438439,1
1778625748991932672,0.898744,0.004334,0.003011,0.438441,1
1778625749001777408,0.898744,0.004334,0.003007,0.438443,1
1778625749011771392,0.898745,0.004333,0.003010,0.438441,1
1778625749021745408,0.898744,0.004332,0.003009,0.438443,1
1778625749031699968,0.898743,0.004333,0.003010,0.438443,1
1778625749041634816,0.898743,0.004331,0.003008,0.438443,1
1778625749051550208,0.898743,0.004331,0.003009,0.438445,1
1778625749061445888,0.898742,0.004333,0.003009,0.438447,1
1778625749071322112,0.898742,0.004335,0.003010,0.438446,1
1778625749081178624,0.898742,0.004334,0.003009,0.438447,1
1778625749091015936,0.898741,0.004335,0.003006,0.438448,1
1778625749100833536,0.898742,0.004337,0.003006,0.438447,1
1778625749110632448,0.898741,0.004339,0.003007,0.438448,1
1778625749120412160,0.898741,0.004337,0.003006,0.438447,1
1778625749130173184,0.898742,0.004335,0.003001,0.438447,1
1778625749139915264,0.898742,0.004330,0.003000,0.438447,1
1778625749149637888,0.898740,0.004332,0.002999,0.438450,1
1778625749159341312,0.898740,0.004333,0.003000,0.438451,1
1778625749169199872,0.898739,0.004333,0.002999,0.438451,1
1778625749179213312,0.898739,0.004332,0.002999,0.438452,1
1778625749189206784,0.898737,0.004329,0.002999,0.438456,1
1778625749199180288,0.898736,0.004331,0.003000,0.438458,1
1778625749209133824,0.898735,0.004331,0.002998,0.438461,1
1778625749219067904,0.898734,0.004332,0.002997,0.438462,1
1778625749228982528,0.898734,0.004334,0.002997,0.438462,1
1778625749238877440,0.898733,0.004332,0.002999,0.438464,1
1778625749248752640,0.898732,0.004333,0.003000,0.438467,1
1778625749258608384,0.898732,0.004335,0.003002,0.438467,1
1778625749268444672,0.898731,0.004338,0.003006,0.438469,1
1778625749278261248,0.898731,0.004341,0.003006,0.438469,1
1778625749288058112,0.898730,0.004343,0.003004,0.438471,1
1778625749297835776,0.898729,0.004344,0.003006,0.438473,1
1778625749307594240,0.898728,0.004346,0.003007,0.438474,1
1778625749317333248,0.898728,0.004344,0.003005,0.438475,1
1778625749327052800,0.898727,0.004341,0.003009,0.438477,1
1778625749336753152,0.898725,0.004339,0.003012,0.438480,1
1778625749346605056,0.898724,0.004342,0.003013,0.438483,1
1778625749356607744,0.898724,0.004338,0.003014,0.438483,1
1778625749366590464,0.898724,0.004340,0.003015,0.438483,1
1778625749376553728,0.898724,0.004339,0.003014,0.438484,1
1778625749386497024,0.898723,0.004338,0.003013,0.438484,1
1778625749396420864,0.898721,0.004335,0.003013,0.438488,1
1778625749406324992,0.898722,0.004337,0.003013,0.438487,1
1778625749416209408,0.898720,0.004338,0.003014,0.438491,1
1778625749426074368,0.898720,0.004336,0.003013,0.438492,1
1778625749435919872,0.898720,0.004339,0.003013,0.438491,1
1778625749445745408,0.898720,0.004343,0.003015,0.438492,1
1778625749455552000,0.898721,0.004346,0.003019,0.438489,1
1778625749465339136,0.898720,0.004349,0.003019,0.438491,1
1778625749475106304,0.898720,0.004347,0.003019,0.438491,1
1778625749484854272,0.898719,0.004344,0.003018,0.438492,1
1778625749494583040,0.898720,0.004340,0.003015,0.438491,1
1778625749504292352,0.898720,0.004340,0.003014,0.438492,1
1778625749514153728,0.898719,0.004339,0.003014,0.438493,1
1778625749524166912,0.898718,0.004339,0.003013,0.438494,1
1778625749534160384,0.898718,0.004338,0.003012,0.438495,1
1778625749544134144,0.898717,0.004342,0.003013,0.438497,1
1778625749554087936,0.898716,0.004342,0.003015,0.438499,1
1778625749564022784,0.898714,0.004341,0.003015,0.438503,1
1778625749573937920,0.898714,0.004341,0.003014,0.438504,1
1778625749583833088,0.898714,0.004340,0.003015,0.438504,1
1778625749593709056,0.898713,0.004340,0.003016,0.438505,1
1778625749603565312,0.898713,0.004339,0.003016,0.438506,1
1778625749613401856,0.898712,0.004337,0.003016,0.438508,1
1778625749623218944,0.898712,0.004337,0.003022,0.438508,1
1778625749633016832,0.898710,0.004337,0.003022,0.438511,1
1778625749642795008,0.898710,0.004336,0.003023,0.438512,1
1778625749652553984,0.898710,0.004338,0.003021,0.438512,1
1778625749662293504,0.898710,0.004337,0.003023,0.438512,1
1778625749672013568,0.898710,0.004340,0.003022,0.438512,1
1778625749681714432,0.898708,0.004341,0.003022,0.438515,1
1778625749691744768,0.898708,0.004339,0.003021,0.438516,1
1778625749701755136,0.898707,0.004336,0.003021,0.438517,1
1778625749711745280,0.898707,0.004336,0.003017,0.438518,1
1778625749721715968,0.898706,0.004338,0.003018,0.438519,1
1778625749731666944,0.898706,0.004337,0.003018,0.438520,1
1778625749741598464,0.898705,0.004336,0.003014,0.438522,1
1778625749751510016,0.898704,0.004336,0.003014,0.438523,1
1778625749761401856,0.898705,0.004333,0.003016,0.438522,1
1778625749771274496,0.898705,0.004332,0.003017,0.438522,1
1778625749781127168,0.898704,0.004332,0.003018,0.438523,1
1778625749790960384,0.898704,0.004329,0.003016,0.438524,1
1778625749800774400,0.898704,0.004331,0.003015,0.438525,1
1778625749810568704,0.898703,0.004329,0.003012,0.438527,1
1778625749820344576,0.898702,0.004327,0.003013,0.438528,1
1778625749830100992,0.898702,0.004328,0.003009,0.438528,1
1778625749839837952,0.898701,0.004325,0.003007,0.438529,1
1778625749849555712,0.898701,0.004326,0.003008,0.438531,1
1778625749859424512,0.898700,0.004324,0.003006,0.438533,1
1778625749869443584,0.898699,0.004327,0.003004,0.438534,1
1778625749879442432,0.898698,0.004323,0.003003,0.438536,1
1778625749889421824,0.898697,0.004320,0.003006,0.438539,1
1778625749899381248,0.898697,0.004320,0.003004,0.438539,1
1778625749909321216,0.898697,0.004320,0.003001,0.438539,1
1778625749919241472,0.898696,0.004322,0.003001,0.438542,1
1778625749929141760,0.898695,0.004321,0.003004,0.438543,1
1778625749939022336,0.898694,0.004318,0.003002,0.438545,1
1778625749948883712,0.898693,0.004318,0.003000,0.438547,1
1778625749958725376,0.898692,0.004320,0.002999,0.438549,1
1778625749968547328,0.898692,0.004319,0.003001,0.438548,1
1778625749978350080,0.898692,0.004320,0.003003,0.438548,1
1778625749988133376,0.898692,0.004319,0.003005,0.438549,1
1778625749997896960,0.898691,0.004319,0.003006,0.438550,1
1778625750007641088,0.898691,0.004320,0.003007,0.438550,1
1778625750017366016,0.898691,0.004322,0.003009,0.438550,1
1778625750027247616,0.898691,0.004320,0.003010,0.438551,1
1778625750037285376,0.898691,0.004322,0.003011,0.438551,1
1778625750047303424,0.898691,0.004320,0.003012,0.438551,1
1778625750057301504,0.898690,0.004323,0.003010,0.438552,1
1778625750067280128,0.898690,0.004325,0.003011,0.438553,1
1778625750077239296,0.898689,0.004325,0.003011,0.438555,1
1778625750087179008,0.898689,0.004331,0.003009,0.438556,1
1778625750097099264,0.898689,0.004331,0.003010,0.438555,1
1778625750106999808,0.898689,0.004332,0.003010,0.438555,1
1778625750116880896,0.898687,0.004331,0.003008,0.438559,1
1778625750126742272,0.898686,0.004335,0.003002,0.438561,1
1778625750136584704,0.898686,0.004338,0.002999,0.438561,1
1778625750146407168,0.898687,0.004338,0.003001,0.438560,1
1778625750156210432,0.898686,0.004337,0.003004,0.438562,1
1778625750165994752,0.898684,0.004334,0.003003,0.438565,1
1778625750175759616,0.898683,0.004334,0.003005,0.438567,1
1778625750185505024,0.898683,0.004334,0.003009,0.438567,1
1778625750195231232,0.898682,0.004336,0.003012,0.438568,1
1778625750205107456,0.898682,0.004340,0.003014,0.438570,1
1778625750215133440,0.898681,0.004343,0.003013,0.438571,1
1778625750225139712,0.898680,0.004343,0.003010,0.438573,1
1778625750235126784,0.898680,0.004343,0.003010,0.438573,1
1778625750245094144,0.898679,0.004342,0.003011,0.438575,1
1778625750255042304,0.898679,0.004341,0.003010,0.438574,1
1778625750264970496,0.898679,0.004342,0.003007,0.438576,1
1778625750274879744,0.898679,0.004341,0.003008,0.438576,1
1778625750284769536,0.898678,0.004341,0.003007,0.438577,1
1778625750294639872,0.898677,0.004339,0.003010,0.438580,1
1778625750304490752,0.898676,0.004339,0.003012,0.438581,1
1778625750314322688,0.898677,0.004340,0.003013,0.438580,1
1778625750324134912,0.898677,0.004339,0.003014,0.438580,1
1778625750333928192,0.898676,0.004342,0.003012,0.438580,1
1778625750343702016,0.898675,0.004340,0.003011,0.438583,1
1778625750353456384,0.898674,0.004342,0.003010,0.438585,1
1778625750363191552,0.898674,0.004339,0.003008,0.438585,1
1778625750373077248,0.898673,0.004339,0.003009,0.438587,1
1778625750383113216,0.898674,0.004337,0.003008,0.438586,1
1778625750393129216,0.898675,0.004339,0.003010,0.438584,1
1778625750403125760,0.898674,0.004338,0.003009,0.438585,1
1778625750413102592,0.898674,0.004337,0.003013,0.438586,1
1778625750423059968,0.898674,0.004337,0.003009,0.438586,1
1778625750432998656,0.898673,0.004339,0.003005,0.438587,1
1778625750442917888,0.898673,0.004338,0.003004,0.438588,1
1778625750452817408,0.898672,0.004342,0.003006,0.438589,1
1778625750462697728,0.898672,0.004342,0.003008,0.438590,1
1778625750472560384,0.898672,0.004344,0.003009,0.438590,1
1778625750482403584,0.898671,0.004344,0.003010,0.438592,1
1778625750492227328,0.898671,0.004345,0.003010,0.438592,1
1778625750502031872,0.898671,0.004348,0.003012,0.438591,1
