Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777416586476547348,1373748000000,  1373.743, 0.998947,-0.002277, 0.006334, 0.045377,1,0
1777416586486712875,1373938000000,  1425.653, 0.863510,-0.014871, 0.013269, 0.503938,1,0
1777416586496805701,1373938000000,  1425.653, 0.863510,-0.014871, 0.013269, 0.503938,1,0
1777416586506463506,1425668000000,  1425.673, 0.863417,-0.014894, 0.013291, 0.504096,1,0
1777416586516559498,1425668000000,  1425.673, 0.863417,-0.014894, 0.013291, 0.504096,1,0
1777416586526228822,1425688000000,  1425.693, 0.863325,-0.014919, 0.013313, 0.504252,1,0
1777416586539275241,1425688000000,  1425.693, 0.863325,-0.014919, 0.013313, 0.504252,1,0
1777416586556045076,1425708000000,  1425.713, 0.863230,-0.014947, 0.013339, 0.504414,1,0
1777416586575363390,1425728000000,  1425.733, 0.863140,-0.014723, 0.013056, 0.504582,1,0
1777416586595048838,1425748000000,  1425.753, 0.863043,-0.014750, 0.013079, 0.504745,1,0
1777416586614781118,1425768000000,  1425.773, 0.862948,-0.014778, 0.013101, 0.504906,1,0
1777416586630364072,1425788000000,  1425.788, 0.862853,-0.014801, 0.013127, 0.505068,1,0
1777416586640055487,1425808000000,  1425.808, 0.862758,-0.014826, 0.013156, 0.505229,1,0
1777416586650172071,1425808000000,  1425.808, 0.862758,-0.014826, 0.013156, 0.505229,1,0
1777416586669934813,1425828000000,  1425.828, 0.862663,-0.014851, 0.013181, 0.505390,1,0
1777416586679542157,1425848000000,  1425.848, 0.862568,-0.014878, 0.013205, 0.505550,1,0
1777416586689626409,1425848000000,  1425.848, 0.862568,-0.014878, 0.013205, 0.505550,1,0
1777416586708994370,1425868000000,  1425.863, 0.862521,-0.014888, 0.013219, 0.505630,1,0
1777416586718690359,1425888000000,  1425.883, 0.862426,-0.014911, 0.013244, 0.505790,1,0
1777416586728775148,1425888000000,  1425.883, 0.862426,-0.014911, 0.013244, 0.505790,1,0
1777416586738439064,1425908000000,  1425.903, 0.862330,-0.014935, 0.013272, 0.505953,1,0
1777416586748523075,1425908000000,  1425.903, 0.862330,-0.014935, 0.013272, 0.505953,1,0
1777416586758145752,1425928000000,  1425.923, 0.862242,-0.014707, 0.012968, 0.506117,1,0
1777416586768230245,1425928000000,  1425.923, 0.862242,-0.014707, 0.012968, 0.506117,1,0
