Time,reference_time,gps_timestamp,orientQuaternion[0-0],orientQuaternion[0-1],orientQuaternion[0-2],orientQuaternion[0-3],flagStop
1777416350596684023,1175835000000,  1175.835, 0.249840, 0.074962,-0.283472,-0.922824,0
1777416350616928848,1189775000000,  1189.775, 0.371326, 0.056533,-0.276874,-0.884456,0
1777416350626702100,1189795000000,  1189.795, 0.371514, 0.056509,-0.276853,-0.884385,0
1777416350636788503,1189795000000,  1189.795, 0.371514, 0.056509,-0.276853,-0.884385,0
1777416350655957539,1189815000000,  1189.815, 0.371700, 0.056481,-0.276830,-0.884316,0
1777416350665705790,1189825000000,  1189.830, 0.371794, 0.056468,-0.276821,-0.884280,0
1777416350675792249,1189825000000,  1189.830, 0.371794, 0.056468,-0.276821,-0.884280,0
1777416350685395702,1189845000000,  1189.850, 0.371978, 0.056445,-0.276808,-0.884208,0
1777416350695481179,1189845000000,  1189.850, 0.371978, 0.056445,-0.276808,-0.884208,0
1777416350705147040,1189865000000,  1189.870, 0.372159, 0.056428,-0.276798,-0.884136,0
1777416350715232851,1189865000000,  1189.870, 0.372159, 0.056428,-0.276798,-0.884136,0
1777416350734968874,1189885000000,  1189.890, 0.372338, 0.056417,-0.276785,-0.884065,0
1777416350744715977,1189905000000,  1189.910, 0.372514, 0.056399,-0.276772,-0.883997,0
1777416350754991919,1189905000000,  1189.910, 0.372514, 0.056399,-0.276772,-0.883997,0
1777416350764342537,1189925000000,  1189.930, 0.372685, 0.056369,-0.276763,-0.883929,0
1777416350774428162,1189925000000,  1189.930, 0.372685, 0.056369,-0.276763,-0.883929,0
1777416350784088468,1189945000000,  1189.950, 0.372852, 0.056326,-0.276757,-0.883863,0
1777416350794174130,1189945000000,  1189.950, 0.372852, 0.056326,-0.276757,-0.883863,0
1777416350813912913,1189965000000,  1189.970, 0.373018, 0.056293,-0.276743,-0.883800,0
1777416350823586293,1189985000000,  1189.990, 0.373187, 0.056271,-0.276734,-0.883733,0
1777416350833672455,1189985000000,  1189.990, 0.373187, 0.056271,-0.276734,-0.883733,0
1777416350843297131,1190005000000,  1190.010, 0.373358, 0.056243,-0.276728,-0.883664,0
1777416350853390664,1190005000000,  1190.010, 0.373358, 0.056243,-0.276728,-0.883664,0
1777416350869034533,1190025000000,  1190.030, 0.373535, 0.056228,-0.276707,-0.883597,0
1777416350888678111,1190045000000,  1190.045, 0.373700, 0.056205,-0.276693,-0.883533,0
1777416350898352973,1190065000000,  1190.065, 0.373865, 0.056185,-0.276680,-0.883469,0
1777416350908438820,1190065000000,  1190.065, 0.373865, 0.056185,-0.276680,-0.883469,0
1777416350927874489,1190085000000,  1190.085, 0.374021, 0.056151,-0.276670,-0.883407,0
1777416350937532165,1190105000000,  1190.105, 0.374216, 0.056213,-0.276615,-0.883338,0
1777416350947618068,1190105000000,  1190.105, 0.374216, 0.056213,-0.276615,-0.883338,0
1777416350957254929,1190125000000,  1190.125, 0.374419, 0.056253,-0.276621,-0.883248,0
1777416350967342073,1190125000000,  1190.125, 0.374419, 0.056253,-0.276621,-0.883248,0
1777416350987042040,1190145000000,  1190.145, 0.374609, 0.056159,-0.276632,-0.883170,0
1777416351006823990,1190165000000,  1190.165, 0.374833, 0.056115,-0.276623,-0.883080,0
1777416351016461440,1190185000000,  1190.185, 0.375034, 0.056181,-0.276626,-0.882990,0
1777416351026546560,1190185000000,  1190.185, 0.375034, 0.056181,-0.276626,-0.882990,0
1777416351036200047,1190205000000,  1190.205, 0.375194, 0.056307,-0.276598,-0.882923,0
1777416351046284631,1190205000000,  1190.205, 0.375194, 0.056307,-0.276598,-0.882923,0
1777416351066020960,1190225000000,  1190.225, 0.375334, 0.056320,-0.276577,-0.882869,0
1777416351085744919,1190235000000,  1190.240, 0.375408, 0.056306,-0.276572,-0.882840,0
1777416351095431777,1190255000000,  1190.260, 0.375605, 0.056268,-0.276606,-0.882748,0
1777416351105539212,1190255000000,  1190.260, 0.375605, 0.056268,-0.276606,-0.882748,0
1777416351115162458,1190275000000,  1190.280, 0.375951, 0.056204,-0.276667,-0.882586,0
1777416351125248171,1190275000000,  1190.280, 0.375951, 0.056204,-0.276667,-0.882586,0
1777416351144967686,1190295000000,  1190.300, 0.376422, 0.056097,-0.276757,-0.882363,0
1777416351154656099,1190315000000,  1190.320, 0.376843, 0.055885,-0.276876,-0.882160,0
1777416351164758535,1190315000000,  1190.320, 0.376843, 0.055885,-0.276876,-0.882160,0
1777416351174382688,1190335000000,  1190.340, 0.377146, 0.055546,-0.276977,-0.882020,0
1777416351184467901,1190335000000,  1190.340, 0.377146, 0.055546,-0.276977,-0.882020,0
1777416351194125573,1190355000000,  1190.360, 0.377422, 0.055398,-0.277010,-0.881901,0
1777416351204210768,1190355000000,  1190.360, 0.377422, 0.055398,-0.277010,-0.881901,0
1777416351223934967,1190375000000,  1190.380, 0.377724, 0.055336,-0.276976,-0.881786,0
1777416351233613047,1190395000000,  1190.400, 0.378083, 0.055212,-0.276982,-0.881638,0
1777416351243698908,1190395000000,  1190.400, 0.378083, 0.055212,-0.276982,-0.881638,0
1777416351253372266,1190415000000,  1190.420, 0.378477, 0.055182,-0.276850,-0.881512,0
1777416351263477387,1190415000000,  1190.420, 0.378477, 0.055182,-0.276850,-0.881512,0
1777416351278985673,1190435000000,  1190.440, 0.378653, 0.055259,-0.276726,-0.881471,0
1777416351288676846,1190455000000,  1190.460, 0.378756, 0.055340,-0.276617,-0.881456,0
1777416351298761744,1190455000000,  1190.460, 0.378756, 0.055340,-0.276617,-0.881456,0
1777416351308401619,1190475000000,  1190.475, 0.378937, 0.055261,-0.276481,-0.881426,0
1777416351318485703,1190475000000,  1190.475, 0.378937, 0.055261,-0.276481,-0.881426,0
1777416351337883955,1190495000000,  1190.495, 0.379223, 0.055133,-0.276370,-0.881345,0
1777416351347547553,1190515000000,  1190.515, 0.379591, 0.055029,-0.276216,-0.881242,0
1777416351357631711,1190515000000,  1190.515, 0.379591, 0.055029,-0.276216,-0.881242,0
1777416351367305031,1190535000000,  1190.535, 0.379938, 0.054908,-0.276039,-0.881156,0
1777416351377388892,1190535000000,  1190.535, 0.379938, 0.054908,-0.276039,-0.881156,0
1777416351387045231,1190555000000,  1190.555, 0.380293, 0.054745,-0.275838,-0.881075,0
1777416351397128500,1190555000000,  1190.555, 0.380293, 0.054745,-0.275838,-0.881075,0
1777416351416883126,1190575000000,  1190.575, 0.380637, 0.054643,-0.275669,-0.880986,0
1777416351426542668,1190595000000,  1190.595, 0.380921, 0.054480,-0.275578,-0.880902,0
1777416351436627993,1190595000000,  1190.595, 0.380921, 0.054480,-0.275578,-0.880902,0
1777416351446266720,1190615000000,  1190.615, 0.381342, 0.054536,-0.275544,-0.880727,0
1777416351456352007,1190615000000,  1190.615, 0.381342, 0.054536,-0.275544,-0.880727,0
1777416351466021253,1190635000000,  1190.635, 0.381947, 0.054123,-0.275101,-0.880629,0
1777416351476105189,1190635000000,  1190.635, 0.381947, 0.054123,-0.275101,-0.880629,0
1777416351495796499,1190645000000,  1190.650, 0.382246, 0.053887,-0.275172,-0.880491,0
1777416351505476968,1190665000000,  1190.670, 0.382972, 0.053776,-0.274769,-0.880308,0
1777416351515561422,1190665000000,  1190.670, 0.382972, 0.053776,-0.274769,-0.880308,0
1777416351525216020,1190685000000,  1190.690, 0.383659, 0.053572,-0.274598,-0.880075,0
1777416351535301233,1190685000000,  1190.690, 0.383659, 0.053572,-0.274598,-0.880075,0
1777416351555029062,1190705000000,  1190.710, 0.384293, 0.053102,-0.274562,-0.879838,0
1777416351574791726,1190725000000,  1190.730, 0.384868, 0.052958,-0.274661,-0.879564,0
1777416351584443675,1190745000000,  1190.750, 0.385420, 0.052755,-0.274380,-0.879423,0
1777416351594545426,1190745000000,  1190.750, 0.385420, 0.052755,-0.274380,-0.879423,0
1777416351604173727,1190765000000,  1190.770, 0.386076, 0.052438,-0.274660,-0.879066,0
1777416351614258200,1190765000000,  1190.770, 0.386076, 0.052438,-0.274660,-0.879066,0
1777416351633984196,1190785000000,  1190.790, 0.386764, 0.052132,-0.274697,-0.878770,0
1777416351649235721,1190805000000,  1190.810, 0.387321, 0.052155,-0.274915,-0.878456,0
1777416351668930827,1190825000000,  1190.830, 0.387892, 0.052209,-0.275411,-0.878045,0
1777416351678539703,1190845000000,  1190.845, 0.388174, 0.052218,-0.276039,-0.877723,0
1777416351688624175,1190845000000,  1190.845, 0.388174, 0.052218,-0.276039,-0.877723,0
1777416351698278384,1190865000000,  1190.865, 0.388325, 0.052755,-0.276866,-0.877363,0
1777416351708364412,1190865000000,  1190.865, 0.388325, 0.052755,-0.276866,-0.877363,0
1777416351727759572,1190885000000,  1190.885, 0.388498, 0.052869,-0.277225,-0.877166,0
1777416351737445892,1190905000000,  1190.905, 0.388703, 0.052933,-0.277125,-0.877103,0
1777416351747530272,1190905000000,  1190.905, 0.388703, 0.052933,-0.277125,-0.877103,0
1777416351757176240,1190925000000,  1190.925, 0.388704, 0.053341,-0.277499,-0.876960,0
1777416351767274602,1190925000000,  1190.925, 0.388704, 0.053341,-0.277499,-0.876960,0
1777416351786987912,1190945000000,  1190.945, 0.388274, 0.053046,-0.276699,-0.877421,0
1777416351796655770,1190965000000,  1190.965, 0.387852, 0.054074,-0.278117,-0.877097,0
1777416351806738538,1190965000000,  1190.965, 0.387852, 0.054074,-0.278117,-0.877097,0
1777416351816409173,1190985000000,  1190.985, 0.386356, 0.053999,-0.278163,-0.877746,0
1777416351826493035,1190985000000,  1190.985, 0.386356, 0.053999,-0.278163,-0.877746,0
1777416351836139429,1191005000000,  1191.005, 0.385025, 0.054527,-0.278268,-0.878265,0
1777416351846236883,1191005000000,  1191.005, 0.385025, 0.054527,-0.278268,-0.878265,0
1777416351866007139,1191025000000,  1191.025, 0.383607, 0.055022,-0.278328,-0.878835,0
1777416351885675838,1191035000000,  1191.040, 0.382949, 0.055302,-0.278299,-0.879114,0
1777416351895359270,1191055000000,  1191.060, 0.381781, 0.056279,-0.278156,-0.879605,0
1777416351905443983,1191055000000,  1191.060, 0.381781, 0.056279,-0.278156,-0.879605,0
1777416351915099303,1191075000000,  1191.080, 0.380402, 0.056111,-0.277766,-0.880336,0
1777416351925183294,1191075000000,  1191.080, 0.380402, 0.056111,-0.277766,-0.880336,0
1777416351944973217,1191095000000,  1191.100, 0.379593, 0.056903,-0.277470,-0.880728,0
1777416351954570851,1191095000000,  1191.120, 0.379593, 0.056903,-0.277470,-0.880728,0
1777416351964657268,1191095000000,  1191.120, 0.379593, 0.056903,-0.277470,-0.880728,0
1777416351974315255,1191135000000,  1191.140, 0.377246, 0.057317,-0.277257,-0.881776,0
1777416351984399709,1191135000000,  1191.140, 0.377246, 0.057317,-0.277257,-0.881776,0
1777416351994062658,1191155000000,  1191.160, 0.376189, 0.057695,-0.277395,-0.882159,0
1777416352004148427,1191155000000,  1191.160, 0.376189, 0.057695,-0.277395,-0.882159,0
1777416352023851007,1191175000000,  1191.180, 0.375266, 0.057717,-0.277036,-0.882664,0
1777416352033544693,1191195000000,  1191.200, 0.374589, 0.057953,-0.276845,-0.882996,0
1777416352043629384,1191195000000,  1191.200, 0.374589, 0.057953,-0.276845,-0.882996,0
1777416352053301644,1191215000000,  1191.220, 0.374224, 0.057800,-0.276092,-0.883396,0
1777416352063387520,1191215000000,  1191.220, 0.374224, 0.057800,-0.276092,-0.883396,0
1777416352078985986,1191235000000,  1191.240, 0.373937, 0.057915,-0.275890,-0.883573,0
1777416352088602986,1191255000000,  1191.255, 0.373890, 0.057973,-0.275176,-0.883812,0
1777416352098709214,1191255000000,  1191.255, 0.373890, 0.057973,-0.275176,-0.883812,0
1777416352108323474,1191275000000,  1191.275, 0.373820, 0.058027,-0.274599,-0.884018,0
1777416352118407108,1191275000000,  1191.275, 0.373820, 0.058027,-0.274599,-0.884018,0
1777416352137813556,1191295000000,  1191.295, 0.373961, 0.058245,-0.274136,-0.884087,0
1777416352147489001,1191315000000,  1191.315, 0.374154, 0.058445,-0.273788,-0.884100,0
1777416352157572840,1191315000000,  1191.315, 0.374154, 0.058445,-0.273788,-0.884100,0
1777416352167227396,1191335000000,  1191.335, 0.374472, 0.058739,-0.273776,-0.883950,0
1777416352177311512,1191335000000,  1191.335, 0.374472, 0.058739,-0.273776,-0.883950,0
1777416352197029555,1191355000000,  1191.355, 0.374795, 0.058938,-0.273763,-0.883804,0
1777416352216788395,1191375000000,  1191.375, 0.375233, 0.058969,-0.273802,-0.883604,0
1777416352226450563,1191395000000,  1191.395, 0.375839, 0.058674,-0.273707,-0.883395,0
1777416352236534345,1191395000000,  1191.395, 0.375839, 0.058674,-0.273707,-0.883395,0
1777416352246206050,1191415000000,  1191.415, 0.376595, 0.058252,-0.273386,-0.883200,0
1777416352256291981,1191415000000,  1191.415, 0.376595, 0.058252,-0.273386,-0.883200,0
1777416352276025413,1191435000000,  1191.435, 0.377355, 0.057813,-0.273294,-0.882933,0
1777416352295730623,1191445000000,  1191.450, 0.377665, 0.057698,-0.273357,-0.882789,0
1777416352305407939,1191465000000,  1191.470, 0.377874, 0.057465,-0.274221,-0.882447,0
1777416352315492870,1191465000000,  1191.470, 0.377874, 0.057465,-0.274221,-0.882447,0
1777416352325154778,1191485000000,  1191.490, 0.377939, 0.057482,-0.274749,-0.882253,0
1777416352335238246,1191485000000,  1191.490, 0.377939, 0.057482,-0.274749,-0.882253,0
1777416352355038420,1191505000000,  1191.510, 0.378256, 0.057936,-0.275892,-0.881731,0
1777416352374687795,1191525000000,  1191.530, 0.378395, 0.057920,-0.276281,-0.881550,0
1777416352384373630,1191545000000,  1191.550, 0.378775, 0.057966,-0.276770,-0.881231,0
1777416352394456839,1191545000000,  1191.550, 0.378775, 0.057966,-0.276770,-0.881231,0
1777416352404110228,1191565000000,  1191.570, 0.379231, 0.058373,-0.276855,-0.880981,0
1777416352414194919,1191565000000,  1191.570, 0.379231, 0.058373,-0.276855,-0.880981,0
1777416352433913814,1191585000000,  1191.590, 0.379661, 0.058342,-0.276620,-0.880872,0
1777416352443604185,1191605000000,  1191.610, 0.380237, 0.058345,-0.276239,-0.880743,0
1777416352453709691,1191605000000,  1191.610, 0.380237, 0.058345,-0.276239,-0.880743,0
1777416352463333006,1191625000000,  1191.630, 0.380840, 0.058057,-0.276054,-0.880559,0
1777416352473416956,1191625000000,  1191.630, 0.380840, 0.058057,-0.276054,-0.880559,0
1777416352488964532,1191645000000,  1191.650, 0.381272, 0.057882,-0.276035,-0.880390,0
1777416352498633755,1191665000000,  1191.665, 0.381490, 0.057521,-0.275491,-0.880489,0
1777416352508717409,1191665000000,  1191.665, 0.381490, 0.057521,-0.275491,-0.880489,0
1777416352518380632,1191685000000,  1191.685, 0.381870, 0.057324,-0.275820,-0.880235,0
1777416352528464081,1191685000000,  1191.685, 0.381870, 0.057324,-0.275820,-0.880235,0
1777416352547878566,1191705000000,  1191.705, 0.382057, 0.057215,-0.275867,-0.880146,0
1777416352557538493,1191725000000,  1191.725, 0.382195, 0.057051,-0.276492,-0.879900,0
1777416352567623905,1191725000000,  1191.725, 0.382195, 0.057051,-0.276492,-0.879900,0
1777416352577290962,1191745000000,  1191.745, 0.382318, 0.056836,-0.276604,-0.879826,0
1777416352587376671,1191745000000,  1191.745, 0.382318, 0.056836,-0.276604,-0.879826,0
1777416352597030227,1191765000000,  1191.765, 0.382374, 0.056818,-0.277180,-0.879621,0
1777416352607137547,1191765000000,  1191.765, 0.382374, 0.056818,-0.277180,-0.879621,0
1777416352626817738,1191785000000,  1191.785, 0.382354, 0.056634,-0.277931,-0.879405,0
1777416352636519184,1191805000000,  1191.805, 0.382272, 0.056338,-0.277860,-0.879481,0
1777416352646603356,1191805000000,  1191.805, 0.382272, 0.056338,-0.277860,-0.879481,0
1777416352665863783,1191815000000,  1191.820, 0.382343, 0.056407,-0.277654,-0.879512,0
1777416352675538210,1191835000000,  1191.840, 0.382636, 0.057114,-0.279056,-0.878894,0
1777416352685621919,1191835000000,  1191.840, 0.382636, 0.057114,-0.279056,-0.878894,0
1777416352695291050,1191855000000,  1191.860, 0.382549, 0.056757,-0.279526,-0.878806,0
1777416352705375407,1191855000000,  1191.860, 0.382549, 0.056757,-0.279526,-0.878806,0
1777416352715022611,1191875000000,  1191.880, 0.382758, 0.056324,-0.278206,-0.879162,0
1777416352725106968,1191875000000,  1191.880, 0.382758, 0.056324,-0.278206,-0.879162,0
1777416352744841215,1191895000000,  1191.900, 0.382651, 0.056067,-0.278381,-0.879169,0
1777416352754502624,1191915000000,  1191.920, 0.383379, 0.056907,-0.278228,-0.878847,0
1777416352764587443,1191915000000,  1191.920, 0.383379, 0.056907,-0.278228,-0.878847,0
1777416352774254574,1191935000000,  1191.940, 0.382924, 0.056408,-0.278090,-0.879121,0
1777416352784339098,1191935000000,  1191.940, 0.382924, 0.056408,-0.278090,-0.879121,0
1777416352794041803,1191955000000,  1191.960, 0.383394, 0.056617,-0.278242,-0.878854,0
1777416352804125438,1191955000000,  1191.960, 0.383394, 0.056617,-0.278242,-0.878854,0
1777416352823794980,1191975000000,  1191.980, 0.383281, 0.056580,-0.277739,-0.879065,0
1777416352833468018,1191995000000,  1192.000, 0.383664, 0.056748,-0.277256,-0.879040,0
1777416352843568801,1191995000000,  1192.000, 0.383664, 0.056748,-0.277256,-0.879040,0
1777416352859184471,1192015000000,  1192.020, 0.383404, 0.056799,-0.277197,-0.879169,0
1777416352878850143,1192035000000,  1192.040, 0.383300, 0.056773,-0.276531,-0.879425,0
1777416352888524867,1192055000000,  1192.055, 0.383048, 0.056809,-0.275981,-0.879706,0
1777416352898609761,1192055000000,  1192.055, 0.383048, 0.056809,-0.275981,-0.879706,0
1777416352908271928,1192075000000,  1192.075, 0.382719, 0.056648,-0.275484,-0.880015,0
1777416352918361859,1192075000000,  1192.075, 0.382719, 0.056648,-0.275484,-0.880015,0
1777416352937739640,1192095000000,  1192.095, 0.382306, 0.057282,-0.275854,-0.880037,0
1777416352947417752,1192115000000,  1192.115, 0.381895, 0.057600,-0.276458,-0.880005,0
1777416352957504072,1192115000000,  1192.115, 0.381895, 0.057600,-0.276458,-0.880005,0
1777416352967164777,1192135000000,  1192.135, 0.381634, 0.057915,-0.276397,-0.880117,0
1777416352977249078,1192135000000,  1192.135, 0.381634, 0.057915,-0.276397,-0.880117,0
1777416352996976677,1192155000000,  1192.155, 0.381390, 0.057937,-0.276931,-0.880054,0
1777416353006645917,1192175000000,  1192.175, 0.381481, 0.058428,-0.277408,-0.879832,0
1777416353016731158,1192175000000,  1192.175, 0.381481, 0.058428,-0.277408,-0.879832,0
1777416353026392729,1192195000000,  1192.195, 0.381557, 0.058639,-0.277892,-0.879632,0
1777416353036478082,1192195000000,  1192.195, 0.381557, 0.058639,-0.277892,-0.879632,0
1777416353046126967,1192215000000,  1192.215, 0.381693, 0.058552,-0.278166,-0.879492,0
1777416353056212079,1192215000000,  1192.215, 0.381693, 0.058552,-0.278166,-0.879492,0
1777416353075933280,1192235000000,  1192.235, 0.382949, 0.059678,-0.278597,-0.878733,0
1777416353085603851,1192245000000,  1192.250, 0.383283, 0.059674,-0.278791,-0.878526,0
1777416353095689704,1192245000000,  1192.250, 0.383283, 0.059674,-0.278791,-0.878526,0
1777416353105342812,1192265000000,  1192.270, 0.383916, 0.058342,-0.277718,-0.878679,0
1777416353115428868,1192265000000,  1192.270, 0.383916, 0.058342,-0.277718,-0.878679,0
1777416353125090865,1192285000000,  1192.290, 0.385382, 0.057480,-0.276119,-0.878598,0
1777416353135174939,1192285000000,  1192.290, 0.385382, 0.057480,-0.276119,-0.878598,0
1777416353154877770,1192305000000,  1192.310, 0.387082, 0.058133,-0.276240,-0.877770,0
1777416353164557785,1192325000000,  1192.330, 0.389495, 0.059032,-0.275402,-0.876905,0
1777416353174641712,1192325000000,  1192.330, 0.389495, 0.059032,-0.275402,-0.876905,0
1777416353184300375,1192345000000,  1192.350, 0.391896, 0.060034,-0.273755,-0.876283,0
1777416353194384654,1192345000000,  1192.350, 0.391896, 0.060034,-0.273755,-0.876283,0
1777416353204107781,1192365000000,  1192.370, 0.394700, 0.060608,-0.272046,-0.875517,0
1777416353214191652,1192365000000,  1192.370, 0.394700, 0.060608,-0.272046,-0.875517,0
1777416353233856241,1192385000000,  1192.390, 0.397429, 0.061084,-0.270305,-0.874788,0
1777416353243518349,1192405000000,  1192.410, 0.399898, 0.061608,-0.268484,-0.874187,0
1777416353253603368,1192405000000,  1192.410, 0.399898, 0.061608,-0.268484,-0.874187,0
1777416353269178049,1192425000000,  1192.430, 0.402294, 0.061854,-0.266485,-0.873682,0
1777416353288918880,1192445000000,  1192.450, 0.404817, 0.062396,-0.264839,-0.872978,0
1777416353298568562,1192465000000,  1192.465, 0.407149, 0.062772,-0.262888,-0.872456,0
1777416353308653044,1192465000000,  1192.465, 0.407149, 0.062772,-0.262888,-0.872456,0
1777416353318323171,1192485000000,  1192.485, 0.409165, 0.062919,-0.262303,-0.871678,0
1777416353328408486,1192485000000,  1192.485, 0.409165, 0.062919,-0.262303,-0.871678,0
1777416353347805573,1192505000000,  1192.505, 0.411044, 0.064040,-0.261945,-0.870820,0
1777416353357496533,1192525000000,  1192.525, 0.412487, 0.064896,-0.261890,-0.870090,0
1777416353367582238,1192525000000,  1192.525, 0.412487, 0.064896,-0.261890,-0.870090,0
1777416353377214512,1192545000000,  1192.545, 0.413987, 0.066455,-0.261706,-0.869315,0
1777416353387300013,1192545000000,  1192.545, 0.413987, 0.066455,-0.261706,-0.869315,0
1777416353407018491,1192565000000,  1192.565, 0.415326, 0.068363,-0.261640,-0.868548,0
1777416353426763470,1192585000000,  1192.585, 0.416612, 0.069923,-0.260983,-0.868005,0
1777416353436429634,1192605000000,  1192.605, 0.417983, 0.071406,-0.260250,-0.867445,0
1777416353446529135,1192605000000,  1192.605, 0.417983, 0.071406,-0.260250,-0.867445,0
1777416353456177205,1192625000000,  1192.625, 0.419473, 0.073034,-0.259179,-0.866911,0
1777416353466261651,1192625000000,  1192.625, 0.419473, 0.073034,-0.259179,-0.866911,0
1777416353485969963,1192645000000,  1192.645, 0.420795, 0.074588,-0.258652,-0.866295,0
1777416353495656663,1192655000000,  1192.660, 0.421466, 0.075423,-0.258238,-0.866020,0
1777416353505740905,1192655000000,  1192.660, 0.421466, 0.075423,-0.258238,-0.866020,0
1777416353515403679,1192675000000,  1192.680, 0.422528, 0.077045,-0.257012,-0.865725,0
1777416353525487550,1192675000000,  1192.680, 0.422528, 0.077045,-0.257012,-0.865725,0
1777416353535157343,1192695000000,  1192.700, 0.423301, 0.078626,-0.256574,-0.865335,0
1777416353545241326,1192695000000,  1192.700, 0.423301, 0.078626,-0.256574,-0.865335,0
1777416353564943989,1192715000000,  1192.720, 0.423684, 0.080055,-0.256556,-0.865021,0
1777416353574612320,1192735000000,  1192.740, 0.423833, 0.081339,-0.256983,-0.864702,0
1777416353584696413,1192735000000,  1192.740, 0.423833, 0.081339,-0.256983,-0.864702,0
1777416353594353132,1192755000000,  1192.760, 0.423903, 0.082430,-0.257567,-0.864391,0
1777416353604456799,1192755000000,  1192.760, 0.423903, 0.082430,-0.257567,-0.864391,0
1777416353614083240,1192775000000,  1192.780, 0.423967, 0.082891,-0.257947,-0.864202,0
1777416353624168334,1192775000000,  1192.780, 0.423967, 0.082891,-0.257947,-0.864202,0
1777416353643893812,1192795000000,  1192.800, 0.424778, 0.083050,-0.257533,-0.863911,0
1777416353659036730,1192815000000,  1192.820, 0.425548, 0.083731,-0.256517,-0.863769,0
1777416353678784413,1192835000000,  1192.840, 0.426061, 0.085643,-0.255611,-0.863597,0
1777416353688457984,1192855000000,  1192.855, 0.426631, 0.087532,-0.255746,-0.863086,0
1777416353698542874,1192855000000,  1192.855, 0.426631, 0.087532,-0.255746,-0.863086,0
1777416353717933905,1192875000000,  1192.875, 0.427726, 0.088712,-0.255315,-0.862551,0
1777416353727624420,1192895000000,  1192.895, 0.428659, 0.089823,-0.254573,-0.862192,0
1777416353737708477,1192895000000,  1192.895, 0.428659, 0.089823,-0.254573,-0.862192,0
1777416353747348677,1192915000000,  1192.915, 0.429584, 0.091033,-0.253759,-0.861845,0
1777416353757432937,1192915000000,  1192.915, 0.429584, 0.091033,-0.253759,-0.861845,0
1777416353767096545,1192935000000,  1192.935, 0.430303, 0.091990,-0.253719,-0.861397,0
1777416353777195935,1192935000000,  1192.935, 0.430303, 0.091990,-0.253719,-0.861397,0
1777416353796882857,1192955000000,  1192.955, 0.431108, 0.092958,-0.253040,-0.861090,0
1777416353806564188,1192975000000,  1192.975, 0.431888, 0.094052,-0.252499,-0.860739,0
1777416353816647800,1192975000000,  1192.975, 0.431888, 0.094052,-0.252499,-0.860739,0
1777416353826319667,1192995000000,  1192.995, 0.432720, 0.095225,-0.252110,-0.860306,0
1777416353836403686,1192995000000,  1192.995, 0.432720, 0.095225,-0.252110,-0.860306,0
1777416353846151572,1193015000000,  1193.015, 0.433571, 0.096247,-0.251192,-0.860032,0
1777416353856258796,1193015000000,  1193.015, 0.433571, 0.096247,-0.251192,-0.860032,0
1777416353875865718,1193025000000,  1193.030, 0.434112, 0.096738,-0.250716,-0.859843,0
1777416353885540474,1193045000000,  1193.050, 0.435203, 0.097370,-0.248738,-0.859795,0
1777416353895687827,1193045000000,  1193.050, 0.435203, 0.097370,-0.248738,-0.859795,0
1777416353905280508,1193065000000,  1193.070, 0.436046, 0.099578,-0.248950,-0.859053,0
1777416353915366009,1193065000000,  1193.070, 0.436046, 0.099578,-0.248950,-0.859053,0
1777416353925003635,1193085000000,  1193.090, 0.436115, 0.101138,-0.248243,-0.859041,0
1777416353935105747,1193085000000,  1193.090, 0.436115, 0.101138,-0.248243,-0.859041,0
1777416353954819170,1193105000000,  1193.110, 0.436423, 0.102627,-0.247712,-0.858860,0
1777416353964500649,1193125000000,  1193.130, 0.436432, 0.103851,-0.247735,-0.858702,0
1777416353974586705,1193125000000,  1193.130, 0.436432, 0.103851,-0.247735,-0.858702,0
1777416353984248480,1193145000000,  1193.150, 0.436406, 0.104304,-0.247921,-0.858607,0
1777416353994333406,1193145000000,  1193.150, 0.436406, 0.104304,-0.247921,-0.858607,0
1777416354014043640,1193165000000,  1193.170, 0.435869, 0.102829,-0.249509,-0.858598,0
1777416354033787147,1193185000000,  1193.190, 0.435534, 0.100943,-0.250406,-0.858730,0
1777416354043447047,1193205000000,  1193.210, 0.435240, 0.098816,-0.250289,-0.859161,0
1777416354053532340,1193205000000,  1193.210, 0.435240, 0.098816,-0.250289,-0.859161,0
1777416354069084440,1193225000000,  1193.230, 0.435063, 0.096177,-0.251092,-0.859316,0
1777416354088851096,1193245000000,  1193.250, 0.434454, 0.093453,-0.251976,-0.859665,0
1777416354098505996,1193265000000,  1193.265, 0.433720, 0.091047,-0.253828,-0.859749,0
1777416354108589936,1193265000000,  1193.265, 0.433720, 0.091047,-0.253828,-0.859749,0
1777416354127998052,1193285000000,  1193.285, 0.433031, 0.090736,-0.255562,-0.859616,0
