Time,reference_time,gps_timestamp,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,scaledMagX,scaledMagY,scaledMagZ,estGyroBiasX,estGyroBiasY,estGyroBiasZ,estGyroBias:valid,flagStop
1777417002082599616,1832046000000,  1832.046, 0.000043, 0.000016,-0.009952,-0.000020, 0.000025, 0.000181,-0.089055,-0.025838, 0.038896,1,-0.001272, 0.003210, 0.018776,1, 0.004290, 0.001623,-0.995588,-0.001622, 0.002926, 0.018470, 0.010995,-0.104934,-0.152707,-0.000000, 0.000000,-0.000000,1,0
1777417002099083019,1841246000000,  1841.251, 0.000058, 0.000008,-0.009975,-0.000020, 0.000039, 0.000185,-0.339373,-0.059948, 0.030088,1,-0.001561, 0.003701, 0.018427,1, 0.004786, 0.001449,-0.996127,-0.001561, 0.003701, 0.018427, 0.012506,-0.105879,-0.151015,-0.000000, 0.000000,-0.000000,1,0
1777417002118732566,1841266000000,  1841.266, 0.000028,-0.000002,-0.009960,-0.000008, 0.000039, 0.000186,-0.354525,-0.065502, 0.032444,1,-0.001333, 0.003739, 0.018390,1, 0.003309, 0.000893,-0.995884,-0.001333, 0.003739, 0.018390, 0.013185,-0.105933,-0.151456,-0.000000, 0.000000,-0.000000,1,0
1777417002128408059,1841286000000,  1841.286, 0.000035, 0.000016,-0.009967,-0.000012, 0.000029, 0.000186,-0.353955,-0.058092, 0.032583,1,-0.001404, 0.003189, 0.018521,1, 0.003435, 0.001662,-0.995867,-0.001404, 0.003189, 0.018521, 0.012386,-0.105912,-0.152527,-0.000000, 0.000000,-0.000000,1,0
1777417002138493616,1841286000000,  1841.286, 0.000035, 0.000016,-0.009967,-0.000012, 0.000029, 0.000186,-0.353955,-0.058092, 0.032583,1,-0.001404, 0.003189, 0.018521,1, 0.003435, 0.001662,-0.995867,-0.001404, 0.003189, 0.018521, 0.012386,-0.105912,-0.152527,-0.000000, 0.000000,-0.000000,1,0
1777417002157892917,1841306000000,  1841.306, 0.000056, 0.000006,-0.009956,-0.000011, 0.000025, 0.000185,-0.346578,-0.058282, 0.032296,1,-0.001355, 0.003149, 0.018634,1, 0.004859, 0.001143,-0.995706,-0.001204, 0.002874, 0.018577, 0.012279,-0.105890,-0.152854,-0.000000, 0.000000,-0.000000,1,0
1777417002167577113,1841326000000,  1841.326, 0.000053, 0.000019,-0.009956,-0.000013, 0.000033, 0.000188,-0.337531,-0.062543, 0.031610,1,-0.000914, 0.003138, 0.018724,1, 0.005195, 0.001551,-0.995756,-0.001106, 0.003177, 0.018783, 0.012807,-0.105934,-0.151957,-0.000000, 0.000000,-0.000000,1,0
1777417002177661059,1841326000000,  1841.326, 0.000053, 0.000019,-0.009956,-0.000013, 0.000033, 0.000188,-0.337531,-0.062543, 0.031610,1,-0.000914, 0.003138, 0.018724,1, 0.005195, 0.001551,-0.995756,-0.001106, 0.003177, 0.018783, 0.012807,-0.105934,-0.151957,-0.000000, 0.000000,-0.000000,1,0
1777417002187314662,1841346000000,  1841.346, 0.000035, 0.000019,-0.009954,-0.000017, 0.000032, 0.000191,-0.342103,-0.058360, 0.033484,1,-0.001254, 0.003325, 0.018761,1, 0.004208, 0.001782,-0.995656,-0.001452, 0.003317, 0.018918, 0.012751,-0.105731,-0.150251,-0.000000, 0.000000,-0.000000,1,0
1777417002197399034,1841346000000,  1841.346, 0.000035, 0.000019,-0.009954,-0.000017, 0.000032, 0.000191,-0.342103,-0.058360, 0.033484,1,-0.001254, 0.003325, 0.018761,1, 0.004208, 0.001782,-0.995656,-0.001452, 0.003317, 0.018918, 0.012751,-0.105731,-0.150251,-0.000000, 0.000000,-0.000000,1,0
1777417002207050674,1841366000000,  1841.366, 0.000026, 0.000013,-0.009965,-0.000017, 0.000034, 0.000190,-0.353879,-0.063561, 0.037681,1,-0.001446, 0.003384, 0.018993,1, 0.003171, 0.001279,-0.995918,-0.001509, 0.003412, 0.019017, 0.012496,-0.105582,-0.151193,-0.000000, 0.000000,-0.000000,1,0
1777417002217136287,1841366000000,  1841.366, 0.000026, 0.000013,-0.009965,-0.000017, 0.000034, 0.000190,-0.353879,-0.063561, 0.037681,1,-0.001446, 0.003384, 0.018993,1, 0.003171, 0.001279,-0.995918,-0.001509, 0.003412, 0.019017, 0.012496,-0.105582,-0.151193,-0.000000, 0.000000,-0.000000,1,0
