,time_unix_ms,timestamp,Vehicle speed (km/h),time_unix_ms_corr,timestamp_corr
0,1778759273072,2026-05-14 11:47:53.072,0.0,1778777263828,2026-05-14 16:47:43.828
1,1778759274488,2026-05-14 11:47:54.488,0.0,1778777265244,2026-05-14 16:47:45.244
2,1778759275566,2026-05-14 11:47:55.566,0.0,1778777266322,2026-05-14 16:47:46.322
3,1778759276489,2026-05-14 11:47:56.489,0.0,1778777267245,2026-05-14 16:47:47.245
4,1778759277585,2026-05-14 11:47:57.585,0.0,1778777268341,2026-05-14 16:47:48.341
5,1778759278353,2026-05-14 11:47:58.353,0.0,1778777269109,2026-05-14 16:47:49.109
6,1778759279498,2026-05-14 11:47:59.498,0.0,1778777270254,2026-05-14 16:47:50.254
7,1778759280322,2026-05-14 11:48:00.322,0.0,1778777271078,2026-05-14 16:47:51.078
8,1778759281526,2026-05-14 11:48:01.526,0.0,1778777272282,2026-05-14 16:47:52.282
9,1778759283038,2026-05-14 11:48:03.038,0.0,1778777273794,2026-05-14 16:47:53.794
10,1778759283841,2026-05-14 11:48:03.841,0.0,1778777274597,2026-05-14 16:47:54.597
11,1778759284989,2026-05-14 11:48:04.989,0.0,1778777275745,2026-05-14 16:47:55.745
12,1778759286609,2026-05-14 11:48:06.609,0.0,1778777277365,2026-05-14 16:47:57.365
13,1778759287411,2026-05-14 11:48:07.411,0.0,1778777278167,2026-05-14 16:47:58.167
14,1778759288594,2026-05-14 11:48:08.594,0.0,1778777279350,2026-05-14 16:47:59.350
15,1778759289541,2026-05-14 11:48:09.541,0.0,1778777280297,2026-05-14 16:48:00.297
16,1778759290292,2026-05-14 11:48:10.292,0.0,1778777281048,2026-05-14 16:48:01.048
17,1778759291094,2026-05-14 11:48:11.094,0.0,1778777281850,2026-05-14 16:48:01.850
18,1778759292342,2026-05-14 11:48:12.342,0.0,1778777283098,2026-05-14 16:48:03.098
19,1778759293516,2026-05-14 11:48:13.516,0.0,1778777284272,2026-05-14 16:48:04.272
20,1778759294636,2026-05-14 11:48:14.636,0.0,1778777285392,2026-05-14 16:48:05.392
21,1778759295810,2026-05-14 11:48:15.810,0.0,1778777286566,2026-05-14 16:48:06.566
22,1778759296762,2026-05-14 11:48:16.762,0.0,1778777287518,2026-05-14 16:48:07.518
23,1778759297636,2026-05-14 11:48:17.636,0.0,1778777288392,2026-05-14 16:48:08.392
24,1778759298457,2026-05-14 11:48:18.457,0.0,1778777289213,2026-05-14 16:48:09.213
25,1778759299151,2026-05-14 11:48:19.151,0.0,1778777289907,2026-05-14 16:48:09.907
26,1778759299935,2026-05-14 11:48:19.935,0.0,1778777290691,2026-05-14 16:48:10.691
27,1778759301161,2026-05-14 11:48:21.161,0.0,1778777291917,2026-05-14 16:48:11.917
28,1778759301876,2026-05-14 11:48:21.876,0.0,1778777292632,2026-05-14 16:48:12.632
29,1778759302626,2026-05-14 11:48:22.626,0.0,1778777293382,2026-05-14 16:48:13.382
30,1778759303379,2026-05-14 11:48:23.379,0.0,1778777294135,2026-05-14 16:48:14.135
31,1778759304579,2026-05-14 11:48:24.579,0.0,1778777295335,2026-05-14 16:48:15.335
32,1778759305686,2026-05-14 11:48:25.686,0.0,1778777296442,2026-05-14 16:48:16.442
33,1778759306630,2026-05-14 11:48:26.630,0.0,1778777297386,2026-05-14 16:48:17.386
34,1778759308296,2026-05-14 11:48:28.296,0.0,1778777299052,2026-05-14 16:48:19.052
35,1778759309237,2026-05-14 11:48:29.237,0.0,1778777299993,2026-05-14 16:48:19.993
36,1778759310419,2026-05-14 11:48:30.419,0.0,1778777301175,2026-05-14 16:48:21.175
37,1778759311188,2026-05-14 11:48:31.188,0.0,1778777301944,2026-05-14 16:48:21.944
38,1778759311958,2026-05-14 11:48:31.958,0.0,1778777302714,2026-05-14 16:48:22.714
39,1778759313218,2026-05-14 11:48:33.218,0.0,1778777303974,2026-05-14 16:48:23.974
40,1778759314315,2026-05-14 11:48:34.315,0.0,1778777305071,2026-05-14 16:48:25.071
41,1778759315086,2026-05-14 11:48:35.086,0.0,1778777305842,2026-05-14 16:48:25.842
42,1778759316376,2026-05-14 11:48:36.376,0.0,1778777307132,2026-05-14 16:48:27.132
43,1778759317091,2026-05-14 11:48:37.091,0.0,1778777307847,2026-05-14 16:48:27.847
44,1778759318347,2026-05-14 11:48:38.347,0.0,1778777309103,2026-05-14 16:48:29.103
45,1778759319584,2026-05-14 11:48:39.584,0.0,1778777310340,2026-05-14 16:48:30.340
46,1778759321516,2026-05-14 11:48:41.516,0.0,1778777312272,2026-05-14 16:48:32.272
47,1778759325126,2026-05-14 11:48:45.126,0.0,1778777315882,2026-05-14 16:48:35.882
48,1778759326278,2026-05-14 11:48:46.278,0.0,1778777317034,2026-05-14 16:48:37.034
49,1778759327171,2026-05-14 11:48:47.171,0.0,1778777317927,2026-05-14 16:48:37.927
50,1778759328305,2026-05-14 11:48:48.305,0.0,1778777319061,2026-05-14 16:48:39.061
51,1778759329525,2026-05-14 11:48:49.525,0.0,1778777320281,2026-05-14 16:48:40.281
52,1778759330950,2026-05-14 11:48:50.950,0.0,1778777321706,2026-05-14 16:48:41.706
53,1778759331701,2026-05-14 11:48:51.701,0.0,1778777322457,2026-05-14 16:48:42.457
54,1778759332891,2026-05-14 11:48:52.891,0.0,1778777323647,2026-05-14 16:48:43.647
55,1778759333949,2026-05-14 11:48:53.949,0.0,1778777324705,2026-05-14 16:48:44.705
56,1778759335102,2026-05-14 11:48:55.102,0.0,1778777325858,2026-05-14 16:48:45.858
57,1778759336389,2026-05-14 11:48:56.389,0.0,1778777327145,2026-05-14 16:48:47.145
58,1778759338239,2026-05-14 11:48:58.239,0.0,1778777328995,2026-05-14 16:48:48.995
59,1778759339333,2026-05-14 11:48:59.333,0.0,1778777330089,2026-05-14 16:48:50.089
60,1778759340465,2026-05-14 11:49:00.465,0.0,1778777331221,2026-05-14 16:48:51.221
61,1778759341218,2026-05-14 11:49:01.218,0.0,1778777331974,2026-05-14 16:48:51.974
62,1778759342385,2026-05-14 11:49:02.385,0.0,1778777333141,2026-05-14 16:48:53.141
63,1778759343144,2026-05-14 11:49:03.144,0.0,1778777333900,2026-05-14 16:48:53.900
64,1778759344244,2026-05-14 11:49:04.244,0.0,1778777335000,2026-05-14 16:48:55.000
65,1778759345396,2026-05-14 11:49:05.396,0.0,1778777336152,2026-05-14 16:48:56.152
66,1778759346568,2026-05-14 11:49:06.568,0.0,1778777337324,2026-05-14 16:48:57.324
67,1778759347655,2026-05-14 11:49:07.655,0.0,1778777338411,2026-05-14 16:48:58.411
68,1778759348467,2026-05-14 11:49:08.467,0.0,1778777339223,2026-05-14 16:48:59.223
69,1778759349536,2026-05-14 11:49:09.536,4.0,1778777340292,2026-05-14 16:49:00.292
70,1778759350356,2026-05-14 11:49:10.356,4.0,1778777341112,2026-05-14 16:49:01.112
71,1778759351131,2026-05-14 11:49:11.131,7.0,1778777341887,2026-05-14 16:49:01.887
72,1778759352254,2026-05-14 11:49:12.254,8.0,1778777343010,2026-05-14 16:49:03.010
73,1778759353061,2026-05-14 11:49:13.061,8.0,1778777343817,2026-05-14 16:49:03.817
74,1778759354173,2026-05-14 11:49:14.173,9.0,1778777344929,2026-05-14 16:49:04.929
75,1778759354876,2026-05-14 11:49:14.876,9.0,1778777345632,2026-05-14 16:49:05.632
76,1778759355652,2026-05-14 11:49:15.652,9.0,1778777346408,2026-05-14 16:49:06.408
77,1778759356379,2026-05-14 11:49:16.379,9.0,1778777347135,2026-05-14 16:49:07.135
78,1778759357125,2026-05-14 11:49:17.125,9.0,1778777347881,2026-05-14 16:49:07.881
79,1778759358277,2026-05-14 11:49:18.277,11.0,1778777349033,2026-05-14 16:49:09.033
80,1778759359001,2026-05-14 11:49:19.001,11.0,1778777349757,2026-05-14 16:49:09.757
81,1778759359783,2026-05-14 11:49:19.783,13.0,1778777350539,2026-05-14 16:49:10.539
82,1778759360917,2026-05-14 11:49:20.917,17.0,1778777351673,2026-05-14 16:49:11.673
83,1778759361670,2026-05-14 11:49:21.670,17.0,1778777352426,2026-05-14 16:49:12.426
84,1778759362359,2026-05-14 11:49:22.359,19.0,1778777353115,2026-05-14 16:49:13.115
85,1778759363133,2026-05-14 11:49:23.133,21.0,1778777353889,2026-05-14 16:49:13.889
86,1778759364352,2026-05-14 11:49:24.352,21.0,1778777355108,2026-05-14 16:49:15.108
87,1778759365866,2026-05-14 11:49:25.866,21.0,1778777356622,2026-05-14 16:49:16.622
88,1778759367002,2026-05-14 11:49:27.002,22.0,1778777357758,2026-05-14 16:49:17.758
89,1778759368133,2026-05-14 11:49:28.133,23.0,1778777358889,2026-05-14 16:49:18.889
90,1778759369267,2026-05-14 11:49:29.267,22.0,1778777360023,2026-05-14 16:49:20.023
91,1778759370158,2026-05-14 11:49:30.158,22.0,1778777360914,2026-05-14 16:49:20.914
92,1778759370842,2026-05-14 11:49:30.842,22.0,1778777361598,2026-05-14 16:49:21.598
93,1778759371688,2026-05-14 11:49:31.688,21.0,1778777362444,2026-05-14 16:49:22.444
94,1778759372922,2026-05-14 11:49:32.922,22.0,1778777363678,2026-05-14 16:49:23.678
95,1778759373748,2026-05-14 11:49:33.748,22.0,1778777364504,2026-05-14 16:49:24.504
96,1778759375170,2026-05-14 11:49:35.170,21.0,1778777365926,2026-05-14 16:49:25.926
97,1778759375921,2026-05-14 11:49:35.921,22.0,1778777366677,2026-05-14 16:49:26.677
98,1778759376689,2026-05-14 11:49:36.689,22.0,1778777367445,2026-05-14 16:49:27.445
99,1778759377814,2026-05-14 11:49:37.814,23.0,1778777368570,2026-05-14 16:49:28.570
100,1778759379047,2026-05-14 11:49:39.047,22.0,1778777369803,2026-05-14 16:49:29.803
101,1778759380100,2026-05-14 11:49:40.100,23.0,1778777370856,2026-05-14 16:49:30.856
102,1778759380836,2026-05-14 11:49:40.836,23.0,1778777371592,2026-05-14 16:49:31.592
103,1778759382368,2026-05-14 11:49:42.368,15.0,1778777373124,2026-05-14 16:49:33.124
104,1778759383927,2026-05-14 11:49:43.927,24.0,1778777374683,2026-05-14 16:49:34.683
105,1778759384610,2026-05-14 11:49:44.610,15.0,1778777375366,2026-05-14 16:49:35.366
106,1778759385436,2026-05-14 11:49:45.436,23.0,1778777376192,2026-05-14 16:49:36.192
107,1778759386212,2026-05-14 11:49:46.212,22.0,1778777376968,2026-05-14 16:49:36.968
