Time,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777503175184626828, 0.999967, 0.006844,-0.004399,-0.000380,1,0
1777503175194999724, 0.999982, 0.005722,-0.001053,-0.001739,1,0
1777503175205077216, 0.999982, 0.005722,-0.001053,-0.001739,1,0
1777503175222984823, 0.971103, 0.006925,-0.007671,-0.238437,1,0
1777503175233059242, 0.971103, 0.006925,-0.007671,-0.238437,1,0
1777503175243157789, 0.971103, 0.006925,-0.007671,-0.238437,1,0
1777503175253255207, 0.971103, 0.006925,-0.007671,-0.238437,1,0
1777503175263339254, 0.971103, 0.006925,-0.007671,-0.238437,1,0
1777503175282057018, 0.971071, 0.006905,-0.007665,-0.238566,1,0
1777503175292133047, 0.971071, 0.006905,-0.007665,-0.238566,1,0
1777503175302205650, 0.971071, 0.006905,-0.007665,-0.238566,1,0
1777503175312279068, 0.971071, 0.006905,-0.007665,-0.238566,1,0
1777503175322350949, 0.971071, 0.006905,-0.007665,-0.238566,1,0
1777503175333041026, 0.971047, 0.006596,-0.007496,-0.238678,1,0
1777503175343113166, 0.971047, 0.006596,-0.007496,-0.238678,1,0
1777503175353185862, 0.971047, 0.006596,-0.007496,-0.238678,1,0
1777503175363259891, 0.971047, 0.006596,-0.007496,-0.238678,1,0
1777503175373332328, 0.971047, 0.006596,-0.007496,-0.238678,1,0
1777503175392057369, 0.971016, 0.006534,-0.007470,-0.238808,1,0
1777503175402129250, 0.971016, 0.006534,-0.007470,-0.238808,1,0
1777503175412202020, 0.971016, 0.006534,-0.007470,-0.238808,1,0
1777503175422274678, 0.971016, 0.006534,-0.007470,-0.238808,1,0
1777503175432347078, 0.971016, 0.006534,-0.007470,-0.238808,1,0
1777503175443056932, 0.970990, 0.006477,-0.007445,-0.238916,1,0
1777503175453130795, 0.970990, 0.006477,-0.007445,-0.238916,1,0
1777503175463203583, 0.970990, 0.006477,-0.007445,-0.238916,1,0
1777503175473276168, 0.970990, 0.006477,-0.007445,-0.238916,1,0
1777503175483353753, 0.970990, 0.006477,-0.007445,-0.238916,1,0
1777503175502133478, 0.970959, 0.006517,-0.007458,-0.239041,1,0
1777503175512208137, 0.970959, 0.006517,-0.007458,-0.239041,1,0
1777503175522280740, 0.970959, 0.006517,-0.007458,-0.239041,1,0
1777503175532355084, 0.970959, 0.006517,-0.007458,-0.239041,1,0
1777503175542427891, 0.970959, 0.006517,-0.007458,-0.239041,1,0
1777503175553136282, 0.970934, 0.006491,-0.007448,-0.239145,1,0
1777503175563210756, 0.970934, 0.006491,-0.007448,-0.239145,1,0
1777503175573283303, 0.970934, 0.006491,-0.007448,-0.239145,1,0
1777503175583357592, 0.970934, 0.006491,-0.007448,-0.239145,1,0
1777503175593430306, 0.970934, 0.006491,-0.007448,-0.239145,1,0
1777503175612142532, 0.970901, 0.006473,-0.007434,-0.239280,1,0
1777503175622215284, 0.970901, 0.006473,-0.007434,-0.239280,1,0
1777503175632287721, 0.970901, 0.006473,-0.007434,-0.239280,1,0
1777503175642359787, 0.970901, 0.006473,-0.007434,-0.239280,1,0
1777503175652432594, 0.970901, 0.006473,-0.007434,-0.239280,1,0
1777503175663143744, 0.970874, 0.006502,-0.007444,-0.239388,1,0
1777503175673216792, 0.970874, 0.006502,-0.007444,-0.239388,1,0
1777503175683290173, 0.970874, 0.006502,-0.007444,-0.239388,1,0
1777503175693362832, 0.970874, 0.006502,-0.007444,-0.239388,1,0
1777503175703435768, 0.970874, 0.006502,-0.007444,-0.239388,1,0
1777503175722275882, 0.970841, 0.006553,-0.007477,-0.239517,1,0
1777503175732348855, 0.970841, 0.006553,-0.007477,-0.239517,1,0
1777503175742421107, 0.970841, 0.006553,-0.007477,-0.239517,1,0
1777503175752494043, 0.970841, 0.006553,-0.007477,-0.239517,1,0
1777503175762566517, 0.970841, 0.006553,-0.007477,-0.239517,1,0
1777503175773218483, 0.970815, 0.006565,-0.007491,-0.239624,1,0
1777503175783291771, 0.970815, 0.006565,-0.007491,-0.239624,1,0
1777503175793364004, 0.970815, 0.006565,-0.007491,-0.239624,1,0
1777503175803436867, 0.970815, 0.006565,-0.007491,-0.239624,1,0
1777503175813509637, 0.970815, 0.006565,-0.007491,-0.239624,1,0
1777503175832238604, 0.970780, 0.006864,-0.007648,-0.239751,1,0
1777503175842311725, 0.970780, 0.006864,-0.007648,-0.239751,1,0
1777503175852384903, 0.970780, 0.006864,-0.007648,-0.239751,1,0
1777503175862457525, 0.970780, 0.006864,-0.007648,-0.239751,1,0
1777503175872608849, 0.970780, 0.006864,-0.007648,-0.239751,1,0
1777503175883256222, 0.970754, 0.006871,-0.007652,-0.239856,1,0
1777503175893329196, 0.970754, 0.006871,-0.007652,-0.239856,1,0
1777503175903425336, 0.970754, 0.006871,-0.007652,-0.239856,1,0
1777503175913498384, 0.970754, 0.006871,-0.007652,-0.239856,1,0
1777503175923570876, 0.970754, 0.006871,-0.007652,-0.239856,1,0
1777503175942313639, 0.970722, 0.006830,-0.007630,-0.239988,1,0
1777503175952386242, 0.970722, 0.006830,-0.007630,-0.239988,1,0
1777503175962456864, 0.970722, 0.006830,-0.007630,-0.239988,1,0
1777503175972530004, 0.970722, 0.006830,-0.007630,-0.239988,1,0
1777503175982604737, 0.970722, 0.006830,-0.007630,-0.239988,1,0
1777503175993328072, 0.970696, 0.006776,-0.007608,-0.240096,1,0
1777503176003401916, 0.970696, 0.006776,-0.007608,-0.240096,1,0
1777503176013474797, 0.970696, 0.006776,-0.007608,-0.240096,1,0
1777503176023546679, 0.970696, 0.006776,-0.007608,-0.240096,1,0
1777503176033619078, 0.970696, 0.006776,-0.007608,-0.240096,1,0
1777503176052324842, 0.970665, 0.006827,-0.007633,-0.240220,1,0
1777503176062397186, 0.970665, 0.006827,-0.007633,-0.240220,1,0
1777503176072469919, 0.970665, 0.006827,-0.007633,-0.240220,1,0
1777503176082541892, 0.970665, 0.006827,-0.007633,-0.240220,1,0
1777503176092613829, 0.970665, 0.006827,-0.007633,-0.240220,1,0
1777503176103347535, 0.970638, 0.006799,-0.007622,-0.240329,1,0
1777503176113420453, 0.970638, 0.006799,-0.007622,-0.240329,1,0
1777503176123492686, 0.970638, 0.006799,-0.007622,-0.240329,1,0
1777503176133564919, 0.970638, 0.006799,-0.007622,-0.240329,1,0
1777503176143636911, 0.970638, 0.006799,-0.007622,-0.240329,1,0
1777503176161980772, 0.970605, 0.006788,-0.007629,-0.240461,1,0
1777503176172052542, 0.970605, 0.006788,-0.007629,-0.240461,1,0
1777503176182124219, 0.970605, 0.006788,-0.007629,-0.240461,1,0
1777503176192196712, 0.970605, 0.006788,-0.007629,-0.240461,1,0
1777503176202269167, 0.970605, 0.006788,-0.007629,-0.240461,1,0
1777503176212914559, 0.970576, 0.006826,-0.007655,-0.240578,1,0
1777503176222986773, 0.970576, 0.006826,-0.007655,-0.240578,1,0
1777503176233059062, 0.970576, 0.006826,-0.007655,-0.240578,1,0
1777503176243146035, 0.970576, 0.006826,-0.007655,-0.240578,1,0
1777503176253350618, 0.970576, 0.006826,-0.007655,-0.240578,1,0
1777503176271999790, 0.970543, 0.006859,-0.007667,-0.240707,1,0
1777503176282073078, 0.970543, 0.006859,-0.007667,-0.240707,1,0
1777503176292144682, 0.970543, 0.006859,-0.007667,-0.240707,1,0
1777503176302216563, 0.970543, 0.006859,-0.007667,-0.240707,1,0
1777503176312287926, 0.970543, 0.006859,-0.007667,-0.240707,1,0
1777503176323001372, 0.970518, 0.006822,-0.007645,-0.240812,1,0
1777503176333074012, 0.970518, 0.006822,-0.007645,-0.240812,1,0
1777503176343145356, 0.970518, 0.006822,-0.007645,-0.240812,1,0
1777503176353217738, 0.970518, 0.006822,-0.007645,-0.240812,1,0
1777503176363291897, 0.970518, 0.006822,-0.007645,-0.240812,1,0
1777503176382011715, 0.970489, 0.006490,-0.007463,-0.240944,1,0
1777503176392085282, 0.970489, 0.006490,-0.007463,-0.240944,1,0
1777503176402157070, 0.970489, 0.006490,-0.007463,-0.240944,1,0
1777503176412228618, 0.970489, 0.006490,-0.007463,-0.240944,1,0
1777503176422301832, 0.970489, 0.006490,-0.007463,-0.240944,1,0
1777503176433016131, 0.970461, 0.006451,-0.007440,-0.241058,1,0
1777503176443087956, 0.970461, 0.006451,-0.007440,-0.241058,1,0
1777503176453159782, 0.970461, 0.006451,-0.007440,-0.241058,1,0
1777503176463231126, 0.970461, 0.006451,-0.007440,-0.241058,1,0
1777503176473304544, 0.970461, 0.006451,-0.007440,-0.241058,1,0
1777503176492085010, 0.970430, 0.006424,-0.007419,-0.241184,1,0
1777503176502158040, 0.970430, 0.006424,-0.007419,-0.241184,1,0
1777503176512230587, 0.970430, 0.006424,-0.007419,-0.241184,1,0
1777503176522303468, 0.970430, 0.006424,-0.007419,-0.241184,1,0
1777503176532376035, 0.970430, 0.006424,-0.007419,-0.241184,1,0
1777503176543081796, 0.970402, 0.006392,-0.007408,-0.241296,1,0
1777503176553154474, 0.970402, 0.006392,-0.007408,-0.241296,1,0
1777503176563227244, 0.970402, 0.006392,-0.007408,-0.241296,1,0
1777503176573361013, 0.970402, 0.006392,-0.007408,-0.241296,1,0
1777503176583434653, 0.970402, 0.006392,-0.007408,-0.241296,1,0
1777503176602090843, 0.970370, 0.006343,-0.007394,-0.241429,1,0
1777503176612163650, 0.970370, 0.006343,-0.007394,-0.241429,1,0
1777503176622236605, 0.970370, 0.006343,-0.007394,-0.241429,1,0
1777503176632328894, 0.970370, 0.006343,-0.007394,-0.241429,1,0
1777503176642401942, 0.970370, 0.006343,-0.007394,-0.241429,1,0
1777503176653098259, 0.970343, 0.006305,-0.007367,-0.241539,1,0
1777503176663171121, 0.970343, 0.006305,-0.007367,-0.241539,1,0
1777503176673243910, 0.970343, 0.006305,-0.007367,-0.241539,1,0
1777503176683316513, 0.970343, 0.006305,-0.007367,-0.241539,1,0
1777503176693388968, 0.970343, 0.006305,-0.007367,-0.241539,1,0
1777503176712166731, 0.970311, 0.006301,-0.007365,-0.241665,1,0
1777503176722240167, 0.970311, 0.006301,-0.007365,-0.241665,1,0
1777503176732312808, 0.970311, 0.006301,-0.007365,-0.241665,1,0
1777503176742385504, 0.970311, 0.006301,-0.007365,-0.241665,1,0
1777503176752457570, 0.970311, 0.006301,-0.007365,-0.241665,1,0
1777503176763170646, 0.970283, 0.006296,-0.007369,-0.241778,1,0
1777503176773243601, 0.970283, 0.006296,-0.007369,-0.241778,1,0
1777503176783316390, 0.970283, 0.006296,-0.007369,-0.241778,1,0
1777503176793388660, 0.970283, 0.006296,-0.007369,-0.241778,1,0
1777503176803460430, 0.970283, 0.006296,-0.007369,-0.241778,1,0
1777503176822199767, 0.970250, 0.006309,-0.007376,-0.241912,1,0
1777503176832272389, 0.970250, 0.006309,-0.007376,-0.241912,1,0
1777503176842344900, 0.970250, 0.006309,-0.007376,-0.241912,1,0
1777503176852417207, 0.970250, 0.006309,-0.007376,-0.241912,1,0
1777503176862489384, 0.970250, 0.006309,-0.007376,-0.241912,1,0
1777503176873188923, 0.970219, 0.006830,-0.007670,-0.242012,1,0
1777503176883262508, 0.970219, 0.006830,-0.007670,-0.242012,1,0
1777503176893335426, 0.970219, 0.006830,-0.007670,-0.242012,1,0
1777503176903407511, 0.970219, 0.006830,-0.007670,-0.242012,1,0
1777503176913480152, 0.970219, 0.006830,-0.007670,-0.242012,1,0
1777503176932272729, 0.970191, 0.006447,-0.007466,-0.242142,1,0
1777503176942345591, 0.970191, 0.006447,-0.007466,-0.242142,1,0
1777503176952417787, 0.970191, 0.006447,-0.007466,-0.242142,1,0
1777503176962490502, 0.970191, 0.006447,-0.007466,-0.242142,1,0
1777503176972563068, 0.970191, 0.006447,-0.007466,-0.242142,1,0
1777503176983219237, 0.970163, 0.006403,-0.007448,-0.242256,1,0
1777503176993294989, 0.970163, 0.006403,-0.007448,-0.242256,1,0
1777503177003368555, 0.970163, 0.006403,-0.007448,-0.242256,1,0
1777503177013442825, 0.970163, 0.006403,-0.007448,-0.242256,1,0
1777503177023515484, 0.970163, 0.006403,-0.007448,-0.242256,1,0
1777503177042284747, 0.970131, 0.006375,-0.007421,-0.242385,1,0
1777503177052357276, 0.970131, 0.006375,-0.007421,-0.242385,1,0
1777503177062429880, 0.970131, 0.006375,-0.007421,-0.242385,1,0
1777503177072502353, 0.970131, 0.006375,-0.007421,-0.242385,1,0
1777503177082575198, 0.970131, 0.006375,-0.007421,-0.242385,1,0
1777503177093285700, 0.970104, 0.006399,-0.007428,-0.242492,1,0
1777503177103358747, 0.970104, 0.006399,-0.007428,-0.242492,1,0
1777503177113431499, 0.970104, 0.006399,-0.007428,-0.242492,1,0
1777503177123504010, 0.970104, 0.006399,-0.007428,-0.242492,1,0
1777503177133576447, 0.970104, 0.006399,-0.007428,-0.242492,1,0
1777503177151928826, 0.970072, 0.006372,-0.007429,-0.242621,1,0
1777503177162000874, 0.970072, 0.006372,-0.007429,-0.242621,1,0
1777503177172072737, 0.970072, 0.006372,-0.007429,-0.242621,1,0
1777503177182144507, 0.970072, 0.006372,-0.007429,-0.242621,1,0
1777503177192216054, 0.970072, 0.006372,-0.007429,-0.242621,1,0
1777503177202927223, 0.970045, 0.006382,-0.007430,-0.242727,1,0
1777503177213000734, 0.970045, 0.006382,-0.007430,-0.242727,1,0
1777503177223074411, 0.970045, 0.006382,-0.007430,-0.242727,1,0
1777503177233148237, 0.970045, 0.006382,-0.007430,-0.242727,1,0
1777503177243236322, 0.970045, 0.006382,-0.007430,-0.242727,1,0
1777503177261965548, 0.970010, 0.006398,-0.007448,-0.242867,1,0
1777503177272046410, 0.970010, 0.006398,-0.007448,-0.242867,1,0
1777503177282186068, 0.970010, 0.006398,-0.007448,-0.242867,1,0
1777503177292259913, 0.970010, 0.006398,-0.007448,-0.242867,1,0
1777503177302474366, 0.970010, 0.006398,-0.007448,-0.242867,1,0
1777503177312978445, 0.969983, 0.006420,-0.007455,-0.242975,1,0
1777503177323147103, 0.969983, 0.006420,-0.007455,-0.242975,1,0
1777503177333222521, 0.969983, 0.006420,-0.007455,-0.242975,1,0
1777503177343297420, 0.969983, 0.006420,-0.007455,-0.242975,1,0
1777503177353397005, 0.969983, 0.006420,-0.007455,-0.242975,1,0
1777503177371971807, 0.969950, 0.006399,-0.007460,-0.243107,1,0
1777503177382045077, 0.969950, 0.006399,-0.007460,-0.243107,1,0
1777503177392118107, 0.969950, 0.006399,-0.007460,-0.243107,1,0
1777503177402190025, 0.969950, 0.006399,-0.007460,-0.243107,1,0
1777503177412262906, 0.969950, 0.006399,-0.007460,-0.243107,1,0
1777503177422964890, 0.969921, 0.006385,-0.007464,-0.243223,1,0
1777503177433038456, 0.969921, 0.006385,-0.007464,-0.243223,1,0
1777503177443111041, 0.969921, 0.006385,-0.007464,-0.243223,1,0
1777503177453183181, 0.969921, 0.006385,-0.007464,-0.243223,1,0
1777503177463255526, 0.969921, 0.006385,-0.007464,-0.243223,1,0
1777503177482043195, 0.969889, 0.006396,-0.007470,-0.243348,1,0
1777503177492118928, 0.969889, 0.006396,-0.007470,-0.243348,1,0
1777503177502191384, 0.969889, 0.006396,-0.007470,-0.243348,1,0
1777503177512264413, 0.969889, 0.006396,-0.007470,-0.243348,1,0
1777503177522336350, 0.969889, 0.006396,-0.007470,-0.243348,1,0
1777503177533044259, 0.969863, 0.006382,-0.007453,-0.243454,1,0
1777503177543116937, 0.969863, 0.006382,-0.007453,-0.243454,1,0
1777503177553188836, 0.969863, 0.006382,-0.007453,-0.243454,1,0
1777503177563261236, 0.969863, 0.006382,-0.007453,-0.243454,1,0
1777503177573333969, 0.969863, 0.006382,-0.007453,-0.243454,1,0
1777503177592105121, 0.969829, 0.006372,-0.007445,-0.243588,1,0
1777503177602176520, 0.969829, 0.006372,-0.007445,-0.243588,1,0
1777503177612249013, 0.969829, 0.006372,-0.007445,-0.243588,1,0
1777503177622320542, 0.969829, 0.006372,-0.007445,-0.243588,1,0
1777503177632392757, 0.969829, 0.006372,-0.007445,-0.243588,1,0
1777503177643059352, 0.969801, 0.006385,-0.007452,-0.243700,1,0
1777503177653131992, 0.969801, 0.006385,-0.007452,-0.243700,1,0
1777503177663203781, 0.969801, 0.006385,-0.007452,-0.243700,1,0
1777503177673276051, 0.969801, 0.006385,-0.007452,-0.243700,1,0
1777503177683347932, 0.969801, 0.006385,-0.007452,-0.243700,1,0
1777503177702116065, 0.969768, 0.006410,-0.007473,-0.243830,1,0
1777503177712188761, 0.969768, 0.006410,-0.007473,-0.243830,1,0
1777503177722259105, 0.969768, 0.006410,-0.007473,-0.243830,1,0
1777503177732332098, 0.969768, 0.006410,-0.007473,-0.243830,1,0
1777503177742404331, 0.969768, 0.006410,-0.007473,-0.243830,1,0
1777503177753128221, 0.969741, 0.006395,-0.007472,-0.243938,1,0
1777503177763200640, 0.969741, 0.006395,-0.007472,-0.243938,1,0
1777503177773273095, 0.969741, 0.006395,-0.007472,-0.243938,1,0
1777503177783344791, 0.969741, 0.006395,-0.007472,-0.243938,1,0
1777503177793416931, 0.969741, 0.006395,-0.007472,-0.243938,1,0
1777503177812139695, 0.969708, 0.006386,-0.007460,-0.244070,1,0
1777503177822211650, 0.969708, 0.006386,-0.007460,-0.244070,1,0
1777503177832283494, 0.969708, 0.006386,-0.007460,-0.244070,1,0
1777503177842355338, 0.969708, 0.006386,-0.007460,-0.244070,1,0
1777503177852426256, 0.969708, 0.006386,-0.007460,-0.244070,1,0
1777503177863227591, 0.969682, 0.006365,-0.007447,-0.244175,1,0
1777503177873299713, 0.969682, 0.006365,-0.007447,-0.244175,1,0
1777503177883372131, 0.969682, 0.006365,-0.007447,-0.244175,1,0
1777503177893445790, 0.969682, 0.006365,-0.007447,-0.244175,1,0
1777503177903518023, 0.969682, 0.006365,-0.007447,-0.244175,1,0
1777503177922221990, 0.969648, 0.006346,-0.007431,-0.244310,1,0
1777503177932293445, 0.969648, 0.006346,-0.007431,-0.244310,1,0
1777503177942365252, 0.969648, 0.006346,-0.007431,-0.244310,1,0
1777503177952436263, 0.969648, 0.006346,-0.007431,-0.244310,1,0
1777503177962507589, 0.969648, 0.006346,-0.007431,-0.244310,1,0
1777503177973226461, 0.969620, 0.006315,-0.007420,-0.244421,1,0
1777503177983332175, 0.969620, 0.006315,-0.007420,-0.244421,1,0
1777503177993406686, 0.969620, 0.006315,-0.007420,-0.244421,1,0
1777503178003480030, 0.969620, 0.006315,-0.007420,-0.244421,1,0
1777503178013552300, 0.969620, 0.006315,-0.007420,-0.244421,1,0
1777503178032243583, 0.969590, 0.006322,-0.007430,-0.244542,1,0
1777503178042316334, 0.969590, 0.006322,-0.007430,-0.244542,1,0
1777503178052388826, 0.969590, 0.006322,-0.007430,-0.244542,1,0
1777503178062460763, 0.969590, 0.006322,-0.007430,-0.244542,1,0
1777503178072533107, 0.969590, 0.006322,-0.007430,-0.244542,1,0
1777503178083227647, 0.969563, 0.006321,-0.007425,-0.244646,1,0
1777503178093299991, 0.969563, 0.006321,-0.007425,-0.244646,1,0
1777503178103371650, 0.969563, 0.006321,-0.007425,-0.244646,1,0
1777503178113443439, 0.969563, 0.006321,-0.007425,-0.244646,1,0
1777503178123514635, 0.969563, 0.006321,-0.007425,-0.244646,1,0
