Time,estLinearAccelZ,estAngularRateZ,flagStop
1777503175184626828, 0.041986,-0.005134,0
1777503175194999724, 0.039788,-0.004443,0
1777503175205077216, 0.039788,-0.004443,0
1777503175222984823, 0.041969,-0.004350,0
1777503175233059242, 0.041969,-0.004350,0
1777503175243157789, 0.041969,-0.004350,0
1777503175253255207, 0.041969,-0.004350,0
1777503175263339254, 0.041969,-0.004350,0
1777503175282057018, 0.043410,-0.004443,0
1777503175292133047, 0.043410,-0.004443,0
1777503175302205650, 0.043410,-0.004443,0
1777503175312279068, 0.043410,-0.004443,0
1777503175322350949, 0.043410,-0.004443,0
1777503175333041026, 0.028685,-0.004571,0
1777503175343113166, 0.028685,-0.004571,0
1777503175353185862, 0.028685,-0.004571,0
1777503175363259891, 0.028685,-0.004571,0
1777503175373332328, 0.028685,-0.004571,0
1777503175392057369, 0.036022,-0.004352,0
1777503175402129250, 0.036022,-0.004352,0
1777503175412202020, 0.036022,-0.004352,0
1777503175422274678, 0.036022,-0.004352,0
1777503175432347078, 0.036022,-0.004352,0
1777503175443056932, 0.044803,-0.004507,0
1777503175453130795, 0.044803,-0.004507,0
1777503175463203583, 0.044803,-0.004507,0
1777503175473276168, 0.044803,-0.004507,0
1777503175483353753, 0.044803,-0.004507,0
1777503175502133478, 0.046424,-0.004212,0
1777503175512208137, 0.046424,-0.004212,0
1777503175522280740, 0.046424,-0.004212,0
1777503175532355084, 0.046424,-0.004212,0
1777503175542427891, 0.046424,-0.004212,0
1777503175553136282, 0.046678,-0.004341,0
1777503175563210756, 0.046678,-0.004341,0
1777503175573283303, 0.046678,-0.004341,0
1777503175583357592, 0.046678,-0.004341,0
1777503175593430306, 0.046678,-0.004341,0
1777503175612142532, 0.048969,-0.004662,0
1777503175622215284, 0.048969,-0.004662,0
1777503175632287721, 0.048969,-0.004662,0
1777503175642359787, 0.048969,-0.004662,0
1777503175652432594, 0.048969,-0.004662,0
1777503175663143744, 0.044121,-0.004661,0
1777503175673216792, 0.044121,-0.004661,0
1777503175683290173, 0.044121,-0.004661,0
1777503175693362832, 0.044121,-0.004661,0
1777503175703435768, 0.044121,-0.004661,0
1777503175722275882, 0.042095,-0.004535,0
1777503175732348855, 0.042095,-0.004535,0
1777503175742421107, 0.042095,-0.004535,0
1777503175752494043, 0.042095,-0.004535,0
1777503175762566517, 0.042095,-0.004535,0
1777503175773218483, 0.039571,-0.004490,0
1777503175783291771, 0.039571,-0.004490,0
1777503175793364004, 0.039571,-0.004490,0
1777503175803436867, 0.039571,-0.004490,0
1777503175813509637, 0.039571,-0.004490,0
1777503175832238604, 0.040120,-0.004306,0
1777503175842311725, 0.040120,-0.004306,0
1777503175852384903, 0.040120,-0.004306,0
1777503175862457525, 0.040120,-0.004306,0
1777503175872608849, 0.040120,-0.004306,0
1777503175883256222, 0.040307,-0.004372,0
1777503175893329196, 0.040307,-0.004372,0
1777503175903425336, 0.040307,-0.004372,0
1777503175913498384, 0.040307,-0.004372,0
1777503175923570876, 0.040307,-0.004372,0
1777503175942313639, 0.044850,-0.004533,0
1777503175952386242, 0.044850,-0.004533,0
1777503175962456864, 0.044850,-0.004533,0
1777503175972530004, 0.044850,-0.004533,0
1777503175982604737, 0.044850,-0.004533,0
1777503175993328072, 0.043613,-0.004301,0
1777503176003401916, 0.043613,-0.004301,0
1777503176013474797, 0.043613,-0.004301,0
1777503176023546679, 0.043613,-0.004301,0
1777503176033619078, 0.043613,-0.004301,0
1777503176052324842, 0.042545,-0.004273,0
1777503176062397186, 0.042545,-0.004273,0
1777503176072469919, 0.042545,-0.004273,0
1777503176082541892, 0.042545,-0.004273,0
1777503176092613829, 0.042545,-0.004273,0
1777503176103347535, 0.041909,-0.004554,0
