FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/29/26 21:38:25.022139392
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
1777498705022139392,1.000000,0.000192,-0.000136,-0.000368
1777498705032243200,1.000000,0.000191,-0.000136,-0.000367
1777498705042327040,1.000000,0.000192,-0.000135,-0.000368
1777498705052390912,1.000000,0.000192,-0.000136,-0.000366
1777498705062434816,1.000000,0.000191,-0.000135,-0.000369
1777498705072459008,1.000000,0.000189,-0.000137,-0.000370
1777498705082463488,1.000000,0.000185,-0.000143,-0.000372
1777498705092448256,1.000000,0.000184,-0.000142,-0.000372
1777498705102413056,1.000000,0.000181,-0.000142,-0.000374
1777498705112358400,1.000000,0.000177,-0.000142,-0.000373
1777498705122284032,1.000000,0.000175,-0.000144,-0.000373
1777498705132190208,1.000000,0.000174,-0.000141,-0.000373
1777498705142077184,1.000000,0.000175,-0.000139,-0.000370
1777498705151944192,1.000000,0.000175,-0.000144,-0.000367
1777498705161792512,1.000000,0.000175,-0.000142,-0.000367
1777498705171621632,1.000000,0.000174,-0.000139,-0.000366
1777498705181431296,1.000000,0.000174,-0.000140,-0.000364
1777498705191221248,1.000000,0.000174,-0.000140,-0.000365
1777498705200992000,1.000000,0.000176,-0.000143,-0.000368
1777498705210984192,1.000000,0.000174,-0.000142,-0.000370
1777498705221197312,1.000000,0.000169,-0.000144,-0.000372
1777498705231390464,1.000000,0.000170,-0.000142,-0.000375
1777498705241563392,1.000000,0.000170,-0.000143,-0.000376
1777498705251716608,1.000000,0.000170,-0.000141,-0.000374
1777498705261849600,1.000000,0.000168,-0.000142,-0.000373
1777498705271962880,1.000000,0.000171,-0.000145,-0.000372
1777498705282055936,1.000000,0.000174,-0.000145,-0.000365
1777498705292129024,1.000000,0.000175,-0.000138,-0.000361
1777498705302182144,1.000000,0.000175,-0.000132,-0.000353
1777498705312216832,1.000000,0.000175,-0.000126,-0.000349
1777498705322232064,1.000000,0.000176,-0.000123,-0.000343
1777498705332227328,1.000000,0.000180,-0.000122,-0.000340
1777498705342202880,1.000000,0.000181,-0.000123,-0.000341
1777498705352158464,1.000000,0.000181,-0.000121,-0.000343
1777498705362094848,1.000000,0.000178,-0.000119,-0.000346
1777498705372011264,1.000000,0.000174,-0.000118,-0.000351
1777498705381907968,1.000000,0.000170,-0.000118,-0.000356
1777498705391785472,1.000000,0.000162,-0.000116,-0.000358
1777498705401643776,1.000000,0.000155,-0.000114,-0.000360
1777498705411482112,1.000000,0.000147,-0.000108,-0.000361
1777498705421301504,1.000000,0.000141,-0.000101,-0.000363
1777498705431101184,1.000000,0.000134,-0.000092,-0.000363
1777498705440881408,1.000000,0.000124,-0.000083,-0.000364
1777498705450879232,1.000000,0.000112,-0.000075,-0.000366
1777498705461093888,1.000000,0.000102,-0.000072,-0.000374
1777498705471288832,1.000000,0.000093,-0.000068,-0.000386
1777498705481463296,1.000000,0.000081,-0.000061,-0.000401
1777498705491618048,1.000000,0.000068,-0.000057,-0.000424
1777498705501753344,1.000000,0.000051,-0.000054,-0.000453
1777498705511869184,1.000000,0.000040,-0.000061,-0.000482
1777498705521965824,1.000000,0.000031,-0.000065,-0.000512
1777498705532042752,1.000000,0.000022,-0.000064,-0.000538
1777498705542099456,1.000000,0.000013,-0.000064,-0.000566
1777498705552136704,1.000000,0.000010,-0.000067,-0.000590
1777498705562154240,1.000000,0.000003,-0.000066,-0.000609
1777498705572152320,1.000000,0.000000,-0.000068,-0.000620
1777498705582130688,1.000000,-0.000001,-0.000070,-0.000624
1777498705592089600,1.000000,0.000007,-0.000065,-0.000621
1777498705602029056,1.000000,0.000019,-0.000065,-0.000612
1777498705611949056,1.000000,0.000033,-0.000056,-0.000594
1777498705621849344,1.000000,0.000045,-0.000055,-0.000572
1777498705631730176,1.000000,0.000060,-0.000045,-0.000548
1777498705641591296,1.000000,0.000085,-0.000039,-0.000524
1777498705651433216,1.000000,0.000107,-0.000035,-0.000496
1777498705661255424,1.000000,0.000125,-0.000024,-0.000463
1777498705671058688,1.000000,0.000141,-0.000016,-0.000434
1777498705680842752,1.000000,0.000158,-0.000014,-0.000410
1777498705690844160,1.000000,0.000174,-0.000004,-0.000392
1777498705701061888,1.000000,0.000187,0.000001,-0.000377
1777498705711259392,1.000000,0.000194,0.000011,-0.000369
1777498705721437952,1.000000,0.000198,0.000013,-0.000364
1777498705731596544,1.000000,0.000205,0.000015,-0.000363
1777498705741735424,1.000000,0.000207,0.000019,-0.000363
1777498705751854592,1.000000,0.000212,0.000023,-0.000366
1777498705761954048,1.000000,0.000219,0.000030,-0.000368
1777498705772033792,1.000000,0.000217,0.000039,-0.000372
1777498705782093824,1.000000,0.000211,0.000049,-0.000376
