FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/29/26 21:28:31.089049856
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1777498111089049856,0.013344,0.004088,0.001913,0.999901,1
1777498111098727424,0.013342,0.004087,0.001914,0.999901,1
1777498111108385792,0.013339,0.004087,0.001915,0.999901,1
1777498111118024960,0.013338,0.004088,0.001916,0.999901,1
1777498111127645696,0.013338,0.004088,0.001920,0.999901,1
1777498111137246976,0.013337,0.004090,0.001918,0.999901,1
1777498111146829824,0.013341,0.004087,0.001919,0.999901,1
1777498111156393216,0.013343,0.004084,0.001920,0.999901,1
1777498111166176000,0.013345,0.004083,0.001919,0.999901,1
1777498111176177408,0.013347,0.004082,0.001917,0.999901,1
1777498111186159360,0.013347,0.004083,0.001914,0.999901,1
1777498111196121344,0.013348,0.004084,0.001916,0.999901,1
1777498111206063872,0.013351,0.004080,0.001916,0.999901,1
1777498111215986944,0.013352,0.004080,0.001911,0.999901,1
1777498111225890816,0.013353,0.004079,0.001914,0.999901,1
1777498111235774720,0.013354,0.004078,0.001915,0.999901,1
1777498111245639168,0.013356,0.004080,0.001916,0.999901,1
1777498111255484160,0.013356,0.004082,0.001917,0.999901,1
1777498111265310208,0.013356,0.004086,0.001916,0.999901,1
1777498111275116288,0.013352,0.004083,0.001917,0.999901,1
1777498111284903168,0.013350,0.004079,0.001919,0.999901,1
1777498111294670848,0.013351,0.004079,0.001919,0.999901,1
1777498111304419584,0.013348,0.004078,0.001915,0.999901,1
1777498111314148864,0.013348,0.004079,0.001915,0.999901,1
1777498111323858688,0.013351,0.004078,0.001915,0.999901,1
1777498111333549568,0.013349,0.004077,0.001919,0.999901,1
1777498111343220992,0.013347,0.004080,0.001919,0.999901,1
1777498111352874752,0.013346,0.004081,0.001918,0.999901,1
1777498111362510592,0.013348,0.004084,0.001919,0.999901,1
1777498111372127744,0.013350,0.004084,0.001919,0.999901,1
1777498111381725696,0.013351,0.004083,0.001917,0.999901,1
1777498111391304960,0.013353,0.004083,0.001917,0.999901,1
1777498111400865024,0.013353,0.004084,0.001919,0.999901,1
1777498111410886912,0.013349,0.004085,0.001923,0.999901,1
1777498111420889600,0.013349,0.004087,0.001924,0.999901,1
1777498111430873088,0.013346,0.004088,0.001925,0.999901,1
1777498111440836608,0.013344,0.004085,0.001925,0.999901,1
1777498111450780672,0.013344,0.004088,0.001926,0.999901,1
1777498111460704768,0.013344,0.004088,0.001926,0.999901,1
1777498111470609664,0.013345,0.004089,0.001924,0.999901,1
1777498111480494592,0.013344,0.004088,0.001921,0.999901,1
1777498111490361344,0.013344,0.004085,0.001920,0.999901,1
1777498111500208384,0.013343,0.004085,0.001917,0.999901,1
1777498111510036224,0.013343,0.004088,0.001918,0.999901,1
1777498111519844352,0.013345,0.004085,0.001917,0.999901,1
1777498111529633280,0.013345,0.004085,0.001921,0.999901,1
1777498111539403008,0.013348,0.004087,0.001920,0.999901,1
1777498111549153280,0.013346,0.004089,0.001921,0.999901,1
1777498111558884352,0.013346,0.004088,0.001924,0.999901,1
1777498111568596480,0.013346,0.004086,0.001925,0.999901,1
1777498111578289408,0.013344,0.004086,0.001924,0.999901,1
1777498111587962880,0.013342,0.004085,0.001923,0.999901,1
1777498111597617152,0.013341,0.004087,0.001923,0.999901,1
1777498111607252224,0.013339,0.004085,0.001922,0.999901,1
1777498111616868352,0.013341,0.004085,0.001926,0.999901,1
1777498111626465280,0.013346,0.004086,0.001929,0.999901,1
1777498111636043520,0.013347,0.004089,0.001929,0.999901,1
1777498111645839616,0.013348,0.004088,0.001926,0.999901,1
1777498111655853568,0.013349,0.004088,0.001925,0.999901,1
1777498111665848576,0.013352,0.004086,0.001926,0.999901,1
1777498111675824384,0.013351,0.004088,0.001926,0.999901,1
1777498111685781504,0.013352,0.004087,0.001927,0.999901,1
1777498111695718912,0.013352,0.004087,0.001923,0.999901,1
1777498111705637120,0.013352,0.004088,0.001923,0.999901,1
1777498111715535872,0.013352,0.004087,0.001925,0.999901,1
1777498111725415168,0.013353,0.004086,0.001924,0.999901,1
1777498111735275008,0.013354,0.004088,0.001922,0.999901,1
1777498111745115392,0.013356,0.004090,0.001921,0.999901,1
1777498111754936320,0.013355,0.004087,0.001924,0.999901,1
1777498111764738048,0.013354,0.004089,0.001924,0.999901,1
1777498111774520576,0.013354,0.004088,0.001926,0.999901,1
1777498111784283648,0.013354,0.004089,0.001928,0.999901,1
1777498111794027520,0.013354,0.004088,0.001925,0.999901,1
1777498111803752192,0.013352,0.004090,0.001925,0.999901,1
1777498111813457920,0.013352,0.004094,0.001923,0.999901,1
1777498111823144192,0.013350,0.004094,0.001924,0.999901,1
1777498111832815872,0.013348,0.004094,0.001924,0.999901,1
1777498111842469376,0.013348,0.004094,0.001926,0.999901,1
1777498111852103936,0.013348,0.004095,0.001923,0.999901,1
1777498111861719296,0.013350,0.004096,0.001922,0.999901,1
1777498111871316480,0.013353,0.004093,0.001921,0.999901,1
1777498111881127424,0.013354,0.004090,0.001919,0.999901,1
1777498111891151360,0.013351,0.004090,0.001919,0.999901,1
1777498111901155840,0.013352,0.004089,0.001920,0.999901,1
1777498111911140352,0.013352,0.004086,0.001919,0.999901,1
1777498111921105664,0.013354,0.004083,0.001919,0.999901,1
1777498111931051264,0.013355,0.004080,0.001921,0.999901,1
1777498111940977408,0.013354,0.004079,0.001922,0.999901,1
1777498111950883840,0.013352,0.004080,0.001920,0.999901,1
1777498111960770816,0.013352,0.004081,0.001919,0.999901,1
1777498111970638080,0.013351,0.004080,0.001923,0.999901,1
1777498111980485888,0.013350,0.004078,0.001922,0.999901,1
1777498111990314240,0.013350,0.004078,0.001920,0.999901,1
1777498112000123392,0.013350,0.004078,0.001918,0.999901,1
1777498112009913088,0.013352,0.004077,0.001917,0.999901,1
1777498112019683840,0.013353,0.004079,0.001917,0.999901,1
1777498112029435136,0.013351,0.004080,0.001912,0.999901,1
1777498112039166720,0.013350,0.004081,0.001911,0.999901,1
1777498112048881152,0.013350,0.004082,0.001911,0.999901,1
1777498112058576640,0.013352,0.004079,0.001912,0.999901,1
1777498112068252928,0.013351,0.004082,0.001914,0.999901,1
1777498112077910016,0.013351,0.004081,0.001912,0.999901,1
1777498112087548160,0.013352,0.004084,0.001909,0.999901,1
1777498112097167104,0.013352,0.004084,0.001910,0.999901,1
1777498112106766848,0.013353,0.004081,0.001913,0.999901,1
1777498112116584448,0.013350,0.004077,0.001915,0.999901,1
1777498112126618880,0.013349,0.004075,0.001913,0.999901,1
1777498112136633856,0.013349,0.004074,0.001913,0.999901,1
1777498112146629376,0.013347,0.004076,0.001916,0.999901,1
1777498112156605696,0.013350,0.004078,0.001916,0.999901,1
1777498112166563072,0.013350,0.004079,0.001916,0.999901,1
1777498112176500736,0.013346,0.004082,0.001917,0.999901,1
1777498112186419200,0.013349,0.004081,0.001915,0.999901,1
1777498112196317952,0.013348,0.004080,0.001914,0.999901,1
1777498112206197504,0.013347,0.004078,0.001914,0.999901,1
1777498112216057344,0.013345,0.004082,0.001911,0.999901,1
1777498112225897472,0.013347,0.004082,0.001911,0.999901,1
1777498112235718400,0.013347,0.004079,0.001914,0.999901,1
1777498112245520384,0.013349,0.004081,0.001913,0.999901,1
1777498112255302400,0.013347,0.004081,0.001908,0.999901,1
1777498112265064960,0.013346,0.004083,0.001908,0.999901,1
1777498112274808576,0.013346,0.004083,0.001910,0.999901,1
1777498112284532736,0.013346,0.004083,0.001909,0.999901,1
1777498112294237696,0.013345,0.004084,0.001907,0.999901,1
1777498112303926784,0.013344,0.004082,0.001909,0.999901,1
1777498112313597184,0.013344,0.004078,0.001911,0.999901,1
1777498112323248896,0.013344,0.004079,0.001910,0.999901,1
1777498112332881920,0.013346,0.004081,0.001912,0.999901,1
1777498112342496000,0.013349,0.004083,0.001912,0.999901,1
1777498112352328448,0.013348,0.004082,0.001912,0.999901,1
1777498112362377984,0.013348,0.004080,0.001909,0.999901,1
1777498112372407808,0.013348,0.004078,0.001908,0.999901,1
1777498112382417920,0.013350,0.004077,0.001906,0.999901,1
1777498112392408320,0.013350,0.004080,0.001908,0.999901,1
1777498112402379776,0.013348,0.004078,0.001908,0.999901,1
1777498112412331520,0.013345,0.004079,0.001909,0.999901,1
1777498112422263552,0.013347,0.004077,0.001909,0.999901,1
1777498112432176128,0.013348,0.004076,0.001906,0.999901,1
1777498112442068992,0.013347,0.004077,0.001905,0.999901,1
1777498112451942400,0.013347,0.004077,0.001902,0.999901,1
1777498112461796352,0.013348,0.004072,0.001901,0.999901,1
1777498112471630848,0.013350,0.004069,0.001903,0.999901,1
1777498112481446144,0.013348,0.004067,0.001905,0.999901,1
1777498112491242496,0.013348,0.004068,0.001906,0.999901,1
1777498112501019136,0.013348,0.004070,0.001907,0.999901,1
1777498112510776576,0.013347,0.004072,0.001902,0.999901,1
1777498112520514816,0.013346,0.004072,0.001901,0.999901,1
1777498112530235392,0.013346,0.004074,0.001904,0.999901,1
1777498112539936768,0.013348,0.004075,0.001903,0.999901,1
1777498112549618944,0.013346,0.004077,0.001903,0.999901,1
1777498112559282432,0.013349,0.004077,0.001902,0.999901,1
1777498112568926720,0.013350,0.004075,0.001902,0.999901,1
1777498112578551808,0.013350,0.004075,0.001902,0.999901,1
1777498112588157952,0.013349,0.004073,0.001907,0.999901,1
1777498112598224384,0.013349,0.004071,0.001908,0.999901,1
1777498112608271360,0.013349,0.004076,0.001908,0.999901,1
1777498112618298624,0.013350,0.004076,0.001908,0.999901,1
1777498112628306176,0.013352,0.004074,0.001910,0.999901,1
1777498112638294016,0.013354,0.004076,0.001908,0.999901,1
1777498112648262144,0.013355,0.004076,0.001911,0.999901,1
1777498112658210560,0.013353,0.004070,0.001907,0.999901,1
1777498112668140288,0.013351,0.004069,0.001910,0.999901,1
1777498112678050560,0.013349,0.004067,0.001907,0.999901,1
1777498112687941120,0.013351,0.004067,0.001908,0.999901,1
1777498112697812224,0.013351,0.004065,0.001909,0.999901,1
1777498112707663872,0.013353,0.004068,0.001905,0.999901,1
1777498112717496064,0.013354,0.004074,0.001904,0.999901,1
1777498112727308800,0.013354,0.004074,0.001905,0.999901,1
1777498112737102080,0.013352,0.004070,0.001905,0.999901,1
1777498112746876160,0.013353,0.004069,0.001903,0.999901,1
1777498112756631040,0.013355,0.004070,0.001903,0.999901,1
1777498112766366464,0.013354,0.004071,0.001902,0.999901,1
1777498112776082688,0.013354,0.004075,0.001904,0.999901,1
1777498112785779712,0.013354,0.004078,0.001904,0.999901,1
